rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,51349,Nico Echavarria,Colombia,COL,"Although he’s a debutant, he gets the nod over numerous notables for this slot due to momentum. Bogey-free, 6-under 66 in each of his last two rounds at PGA National, and exhibited an impeccable short game en route to victory.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
14,39997,Corey Conners,Canada,CAN,"Hasn’t contended in a larger field in a while and Bay Hill doesn’t lunge forward as a site where a guy can find his game, but he hasn’t lost his on the track. Since 2021, he’s sandwiched three top 25s with a pair of solo thirds.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
13,48081,Xander Schauffele,United States of America,USA,"Although he’s 4-for-4 at Bay Hill, he’s made no noise (zero top 20s), but he’s on the bounce of a T7 at The Genesis Invitational. Run it back to the finale of the WM Phoenix Open and he’s been under par in his last nine rounds.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
12,48117,Kurt Kitayama,United States of America,USA,"Bay Hill almost always requires experience before success, but he broke through in his debut in 2023. Now in his third appearance, he’s fresh off a co-runner-up at The Genesis, where he was locked in from tee to green.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
11,52453,Nicolai Højgaard,Denmark,DEN,"Zero quit. After surviving the cut on the number at PGA National, no one was lower on the weekend. His share of sixth place extended a run of eight straight paydays worldwide consisting of four top 10s and another three top 25s.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
10,32839,Hideki Matsuyama,Japan,JPN,"The top-25 machine at Bay Hill has six in 11 tries, including in four of the last five. Given that he minimizes mistakes from tee to green so well, another (or better) is in the offing. Two top 10s among four top 15s this year.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
9,34098,Russell Henley,United States of America,USA,"The defending champ arrives after having missed the cut at Riviera. While his form over time has been exceptional, he chased each of his last four missed cuts (dating back to 2023) with a top 10. Three top 15s here since 2022.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
8,40098,Matt Fitzpatrick,England,ENG,What do you get when you combine the TOUR’s leading ball-striker with a runner-up finish among six top 15s at Bay Hill? You get the 31-year-old Englishman whose form hasn’t relented since he turned a corner last summer.,Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
7,47420,Jake Knapp,United States of America,USA,"Off to a sizzling start to the season with a PGA TOUR-leading four top 10s since a T11 in Hawaii. Fourth in Strokes Gained: Putting, he’s paying off the foundation of elite ball-striking. Also No. 1 in par-5 scoring.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
6,60004,Jacob Bridgeman,United States of America,USA,"If he can excel on The Riviera Country Club when he didn’t seem like a good fit and where he was the first debutant with an official win since 1975, imagine what’s in store on his native Bermudagrass. T15 here last year.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
5,33204,Shane Lowry,Ireland,IRL,"When having experienced as massive a disappointment as he did at PGA National, often the best medicine is to get right back after it. Three days of separation is plenty, and he’s finished third and seventh here the last two years.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
4,30911,Tommy Fleetwood,England,ENG,The reigning FedExCup champ’s record at Bay Hill extends back to before he joined the PGA TOUR. It’s revealed his fit to the tune of a T3 and two T10s among five top 20s. Returns in great form with top 10s in his last two.,Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
3,50525,Collin Morikawa,United States of America,USA,"Before his win at Pebble Beach, he probably paced the TOUR in Strokes Gained: Frustration. Now armed with renewed confidence, he’s positioned to avenge his runner-up finish here last year after serving as the 54-hole leader.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
2,28237,Rory McIlroy,Northern Ireland,NIR,"Picking up where he left off in 2025, but his first win at Riviera (T2) will have to wait another year. However, he captured the title at Bay Hill in 2018. It’s the highlight of six top 10s contributing to his 11-for-11 record.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
1,46046,Scottie Scheffler,United States of America,USA,"Enough of this first-round foolishness! Despite big numbers (for him) to open each of his last three starts, he’s rallied to finish T3, T4 and T12 in consecutive weeks. Now the two-time champ at Bay Hill is rested after a break.",Arnold Palmer Invitational presented by Mastercard,graphql,2026-03-04T01:21:06.389864+00:00
