rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,57492,Eugenio Chacarra,Spain,ESP,¡En fuego! The 26-year-old Spaniard prevailed in consecutive starts on the DP World Tour in June and now sits third in the Race to Dubai with another pair of podium finishes contributing. Second start at The Renaissance Club.,Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
14,51003,Marco Penge,England,ENG,"After taking six weeks off to address physical discomfort, he returned with a T9 in Germany last week, citing strong iron play that surprised him. With rest that prefaced it, he can piggyback a T2 in his debut here last year.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
13,52453,Nicolai Højgaard,Denmark,DEN,"His hit and miss can translate into a fruitful season overall but it thwarts regular attention in the Power Rankings. Appears now after a T14 at the Travelers and with a pair of top 10 at The Renaissance Club (2023, 2025).",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
12,52215,Robert MacIntyre,Scotland,SCO,"No doubt thrilled to be back in his homeland and where he rose to victory in 2024. After a quiet stretch this spring, the lefty rebounded with a T15 in Canada and a T10 at the Travelers. Also the runner-up here in 2023.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
11,48081,Xander Schauffele,United States of America,USA,"A bit hot and cold of late but invariably comfortable here. The 2022 champ first appeared at The Renaissance Club in 2021 and finished T10, and he hasn’t missed an edition since. Tacked on a T15 in 2024 and a T8 last year.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
10,55721,Alex Fitzpatrick,England,ENG,"The younger of the brothers has been unflappable since splashing alongside Matt for victory at the Zurich Classic of New Orleans, adding four top 10s in Signature Events. Also opened 2026 with gusto on the DP World Tour.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
9,34363,Tyrrell Hatton,England,ENG,Returns to the site of four of his top 25s on the DP World Tour in as many trips. His last in 2023 yielded a personal-best T6 when he spun a 62 in the second round. Rested since a T7 at the U.S. Open. T3 previously at the Masters.,Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
8,52955,Ludvig Åberg,Sweden,SWE,"After a heater into mid-May, he’s gone four starts without a top 15. The drought won’t last given his tee-to-green proficiency. Finished T4 here in 2024 and T8 last year when he paced the field in total distance of putts holed.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
7,46717,Viktor Hovland,Norway,NOR,"Rested after upending Scottie Scheffler in a playoff at the Travelers. Two weeks prior, Hovland placed third in Canada. The irony is that his improved short game is neutralized at The Renaissance Club. T11 last year.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
6,30911,Tommy Fleetwood,England,ENG,"With nine top 15s in 14 starts this year, he’s been a cornerstone of the Power Rankings all season. It’s no different this week at The Renaissance Club where he debuted with a P2 in 2020. It’s one of three top 10s in six starts.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
5,28237,Rory McIlroy,Northern Ireland,NIR,"His current form isn’t tiptop but he’s excelled on tracks where he has before despite a whiff of a question mark upon arrival. After winning here in 2023, he added a T4 and a T2. His scoring average in those 12 rounds is 66.50.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
4,59095,Chris Gotterup,United States of America,USA,The defending champ rode a course-record-tying 61 in the second round to a two-shot margin of victory. It was a statement win that he’s validated over and over. His balanced attack (outlined below) has him sixth in the all-around.,Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
3,46046,Scottie Scheffler,United States of America,USA,"So, how is he not going to win again this week? Credit the invisible line between domination and greatness for his “struggles,” but don’t overlook the opposition playing up to the challenge. Still No. 1 in the FedExCup, though.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
2,51766,Wyndham Clark,United States of America,USA,"With his recent reconnection with elite putting, the winner of THE CJ CUP Byron Nelson and the U.S. Open has been performing like he’s playing a video game in basic mode. He’s also finished T16-T25-T10-T12 here since 2022.",Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
1,40098,Matt Fitzpatrick,England,ENG,His outrageous 2026 was further bolstered by a solo fourth at the Travelers Championship in his last start. Showing no signs of letting up and now poised for The Renaissance Club where he’s recorded three top 10s since 2021.,Genesis Scottish Open,graphql,2026-07-08T23:02:27.352914+00:00
