rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,45522,Christiaan Bezuidenhout,South Africa,RSA,"Steady as he goes, the South African with an exquisite short game is riding a consecutive cuts-made streak of six with top 25s in three of his last four starts. T5 on the PGA TOUR with 48 red numbers and third in bogey avoidance.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
14,32102,Rickie Fowler,United States of America,USA,"Captured the most recent of six PGA TOUR titles here in 2023, so no matter the test, it’s always a special visit. He’s delivered in spurts as he progressed in his career. Currently in one now with a T15 and a T18 in his last two.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
13,52689,Rasmus Neergaard-Petersen,Denmark,DEN,"After splashing with fanfare as a PGA TOUR rookie in January, the Dane needed 10 starts to crack a top 35. Now he debuts at Detroit Golf Club with a T9 (The Open) and a T20 (3M Open) in tow, so he’s settling in at a great time.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
12,36884,Ben Kohles,United States of America,USA,"Resilient since falling short at the John Deere Classic (T3), he’s added a T15 (ISCO Championship) and a solo ninth (3M Open). Those finishes chased a Korn Ferry Tour win and other successes. Foundations were laid by taut ball-striking.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
11,59018,Ryan Gerard,United States of America,USA,"As balanced throughout his bag as anyone but needs to hit greens to hang when scoring is low. With Detroit Golf Club pushing back post-restoration, his ball-striking can take the wheel. Rested since a T9 at Royal Birkdale.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
10,31646,Emiliano Grillo,Argentina,ARG,Jackson Koivun’s playing partner at the 3M Open acquitted himself nicely for a season-best-tying T7 with patently efficient ball-striking. The streaky Argentine has cashed in six straight with top 25s in three of his last four.,Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
9,66701,Jackson Koivun,United States of America,USA,The TOUR’s latest first-time winner is suddenly a problem for others as he elbows his way into contention for a spot in the FedExCup Playoffs at 70th in points. Already proven that the hype at this level is legit. Enjoy the show.,Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
8,48081,Xander Schauffele,United States of America,USA,"Arrives for his tournament debut with just two top 25s in five starts, and neither was a top 10. It’s a small sample size but when expectations are way up there, the absence of noise is noticeable. Never truly slumps, though.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
7,47420,Jake Knapp,United States of America,USA,Nap time ended at the 3M Open where he spun a field-low 62 in the finale to finish T13. It was his fifth start since returning from an injured left thumb. He was dialed in with his short irons and co-led the field in par breakers.,Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
6,57366,Cameron Young,United States of America,USA,Snapped out of a funk in a big way with a solo second at The Open Championship. Defaulting as consistently strong from tee to green works pretty much everywhere but especially on unfamiliar tracks like this week’s new look.,Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
5,32839,Hideki Matsuyama,Japan,JPN,"Although the 34-year-old has lost a little bit of mojo from tee to green, his floor is still higher relative to others, but his touch around greens remains elite. Now he’s on the bounce of a T3 at the 3M Open after a pair of T14s.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
4,51766,Wyndham Clark,United States of America,USA,"Royal Birkdale interrupted his flow state but the U.S. Open champion will reconnect. Prior to missing the cut at The Open, he went 6-for-6 with two wins and no worse than a T13. No. 1 in converting greens hit into par breakers.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
3,34098,Russell Henley,United States of America,USA,"The TOUR’s most accurate off the tee also ranks fourth in scrambling, so spots of bothers and moments of stress are rare. Also a scorer, he’s enjoying a fruitful season with a win among five top 10s. T9 in his last at The Open.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
2,59095,Chris Gotterup,United States of America,USA,"Back in action after going T11-T18 across the fortnight in the U.K. Prevailed previously at the John Deere Classic with a closing 62. His muscle is an enhancement to his overall game, and it will be played up again this week.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
1,37455,Si Woo Kim,South Korea,KOR,"In the zone. Set personal bests at the Genesis Scottish Open (T9) and The Open (T6) to reach 10 top 10s on the season, doubling his previous high. Pacing the TOUR with 54 red numbers and co-leads with 43 sub-70s.",Rocket Classic,graphql,2026-07-29T23:27:57.034359+00:00
