rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,59836,Pierceson Coody,United States of America,USA,"He’s cooled after a strong start what with top 20s in five of his first six starts, but the native and resident of nearby Plano, Texas, made his PGA TOUR debut at TPC Craig Ranch in 2021, so you know he’s comfy in these confines.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
14,36824,Paul Peterson,United States of America,USA,"The 37-year-old lefty opened the year deep in the pecking order but he’s cashed for a T5 and a T11 in four starts. He’s also connected for a trio of top 20s on the Korn Ferry Tour, including a T7 last week in South Carolina.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
13,48867,Matti Schmid,Germany,GER,"He went 0-for-3 before the renovation and it’s fair to wonder how much he has left in the tank after holding on for a T4 at the PGA Championship  (that yielded starts in two majors),  but he tends to keep the pedal down when hot.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
12,36801,Mark Hubbard,United States of America,USA,"Had a week to lick his wounds after his latest close call at the ONEflight Myrtle Beach Classic where he was the 54-hole leader. Despite the one-shot loss, it presents as potential momentum for the proven streaky veteran.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
11,39971,Sungjae Im,South Korea,KOR,"Will the real Sungjae Im please step forward? Since returning from an injured right wrist, he’s 7-for-10 worldwide with two top fives but nothing else inside a top 35. Flashes matter but the inconsistency is uncharacteristic.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
10,57362,Austin Eckroat,United States of America,USA,"A co-runner-up on the pre-renovation track of 2023, he strides in having gone T10-T6-T19 in his last three. And that was after a six-month drought without a top-35 finish. Much improved work from tee to green is being rewarded.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
9,39335,Kevin Roy,United States of America,USA,"It’s hard to putt as well as he did at Dunes Golf and Beach Club two weeks ago and not wind up holding the trophy, but he won’t reject the T3. It’s the latest and best of eight straight paydays. Sits 24th in adjusted scoring.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
8,47591,Eric Cole,United States of America,USA,"After opening the season without a top 25 in nine starts, he’s recaptured the electric form with which he’s associated with signature strong putting. After igniting for a T14 at the Valero Texas Open, he’s added a pair of T6s.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
7,66417,Blades Brown,United States of America,USA,Fresh off a T16 at the Colonial Life Charity Classic to climb to ninth on the Korn Ferry Tour Points List. Now he needs no worse than a solo 21st at TPC Craig Ranch to achieve Special Temporary Membership on the  PGA TOUR.,THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
6,58168,Davis Thompson,United States of America,USA,"After a quiet open to the season, a reconnection with his tee-to-green strengths paved the way for respective results of T14, T6 and T13 in his last three. It’s exactly what the learning curve of this week’s renovation rewards.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
5,36689,Brooks Koepka,United States of America,USA,The PGA Championship didn’t go his way (T55) but smaller greens at TPC Craig Ranch should allow his tee-to-green game to pop more than it did at Aronimink despite solid work in that area. Top 20s in five of previous six starts.,THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
4,51287,Ryo Hisatsune,Japan,JPN,"The 23-year-old arrives for his third appearance having cashed in 13 straight, five of which for a top 15, including a T8 at the Valero Texas Open when the PGA TOUR last stopped in the Lone Star State. T17 in the all-around.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
3,34046,Jordan Spieth,United States of America,USA,"His pursuit of the career Grand Slam will extend another year after a T18 at Aronimink. Returns home with 11 straight paydays, six for a top 20. Never a winner of this event but had three top 10s pre-redo of TPC Craig Ranch.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
2,37455,Si Woo Kim,South Korea,KOR,The local resident hasn’t missed an edition of the tournament since TPC Craig Ranch took the reins in 2021. He came within a stroke of forcing a playoff in 2023 but his dynamite 2026 props him up prominently for the renovation.,THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
1,46046,Scottie Scheffler,United States of America,USA,"As explained below, his tournament record at TPC Craig Ranch is likely safe but he’s back to defend his title, anyway. This home game preceded the PGA Championship last year, so the cadence is different. He doesn’t care.",THE CJ CUP Byron Nelson,graphql,2026-05-20T23:31:17.351608+00:00
