rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,32102,Rickie Fowler,United States of America,USA,"His torrid pace was halted at the PGA Championship (T60), but last week’s missed cut at Colonial was a surprise given recent success on the course. His slate at Muirfield Village is even better. Five top 10s including last year’s T7.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
14,59095,Chris Gotterup,United States of America,USA,"Now that he’s fully formed as a touring professional, it’s going to be entertaining to watch him adapt to Muirfield Village after missing the cut in both prior trips (2023, 2024). Profiles similarly to the tournament host.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
13,49960,Sepp Straka,Austria,AUT,"His balanced bag can travel, but he’s retreated into his original archetype of a guy who will pop occasionally instead of sustaining brilliant form. Fresh off a T12 in his native Austria, he’s gone T15-T5-third here since 2023.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
12,51766,Wyndham Clark,United States of America,USA,"Until his lights-out putting at TPC Craig Ranch en route to victory two weeks ago, his once-fantastic stroke graded out as a liability even as he was turning a corner. An extension of the trend underscores this endorsement.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
11,46340,Alex Smalley,United States of America,USA,"Good things happen to those who wait and to those who are, well, good. Across his last seven starts, he has three podiums and no worse than a T21. That includes a T2 at the PGA Championship, where par was as valuable as it is here.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
10,57366,Cameron Young,United States of America,USA,"Keeps on keepin’ on, albeit with limitless expectations after statement wins at TPC Sawgrass and the Blue Monster. Also has a pair of T3s among six top 10s in 2026. Still looking to get over on Muirfield Village (T25, 2025).",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
9,32839,Hideki Matsuyama,Japan,JPN,"Hasn’t missed an edition since his breakthrough win at Muirfield Village in 2014. Why would he? He’s added three top 10s and another two top 20s since. Still a force from tee to green, but improved putting is this year’s wrinkle.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
8,40098,Matt Fitzpatrick,England,ENG,"With three wins in 2026, including the Zurich Classic of New Orleans with his brother, Alex, it’d be natural to celebrate indefinitely, so balancing that with staying sharp is the challenge. Three top 10s at Muirfield Village.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
7,54591,Ben Griffin,United States of America,USA,"Two top threes in his last four starts upon arrival. It was at this time last year that he found his stride as a PGA TOUR winner, and he held at least a share of the lead here after each of the first two rounds en route to a solo second.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
6,48081,Xander Schauffele,United States of America,USA,"It’d be surprising only if he didn’t populate the Power Rankings. Recorded a top 25 in each of the last seven editions of the Memorial, and he has five top 10s among eight top 25s this year. T7 in his last at the PGA Championship.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
5,34098,Russell Henley,United States of America,USA,Now  that  is how you win a golf tournament! His phenomenal flourish to conclude the Charles Schwab is what winners do. Tenth start at the Memorial; personal-best T5 last year. No. 1 on TOUR in fairways hit and scrambling.,the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
4,52955,Ludvig Åberg,Sweden,SWE,"Didn’t contend at Colonial, but a T17 extended his top-25 streak to nine. Six of his previous seven were top 10s. While efficiently equipped throughout his bag for Muirfield Village, his composure has fueled a T5 and a T16.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
3,28237,Rory McIlroy,Northern Ireland,NIR,"He completed the career Grand Slam last year, but this is his first appearance at the Memorial since joining host Jack Nicklaus in that pantheon. Now a two-time Masters champ, McIlroy has no better than a T4 here in 13 tries.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
2,37455,Si Woo Kim,South Korea,KOR,"At fifth in the FedExCup, he’s highest among this year’s non-winners, but he’s already hung up a career-best seven top 10s, four of which on podiums. Also nails in 10 trips to the Memorial with five straight top 20s through 2024.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
1,46046,Scottie Scheffler,United States of America,USA,"Another opportunity to prove that the third time is the charm. This is his third chance to win three consecutive editions of the same tournament (he’s 0-for-2). Threes also are wild, as he also has a pair of solo thirds here.",the Memorial Tournament presented by Workday,graphql,2026-06-03T23:29:12.632084+00:00
