rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,37378,Min Woo Lee,Australia,AUS,"He’s been quiet in majors for two years but this is all about momentum following his close call at The Renaissance Club where he was a 54-hole tri-leader. Led the field in par breakers, which aligns with his scorer’s mentality.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
14,37455,Si Woo Kim,South Korea,KOR,"Just 3-for-7 with one top-40 finish in The Open Championship but the 31-year-old is in a groove indicative of one’s prime. With sublime tee-to-green proficiency, a T9 at the Genesis Scottish Open was his ninth top 10 of the year.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
13,47504,Sam Burns,United States of America,USA,"Of all of the majors, The Open Championship has baffled him the most regardless of the venue, but this is his first taste of Royal Birkdale. He just missed at the U.S. Open where he lost by one to go 0-for-25 in the series.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
12,48081,Xander Schauffele,United States of America,USA,"Debuted in The Open Championship at Royal Birkdale with a T20 in 2017. Overall, he’s 8-for-8 with a win (2024) and a T2 (2018) among six top 20s in the major. Two top 10s and a T11 in the series this year. Simply a machine.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
11,55182,Tom Kim,South Korea,KOR,He’s back! It’s an odd thing to say about a guy who just turned 24 but he was uncharacteristically focused as he broke the tape at The Renaissance Club. A solo third at the U.S. Open was a harbinger. Co-leads TOUR in scrambling,The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
10,46717,Viktor Hovland,Norway,NOR,"With a solo third and a T13 sandwiching a playoff victory at the Travelers Championship, he’s surging at the perfect time to pick off his first victory in a major. His measurably improved short game compliments his arsenal.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
9,34363,Tyrrell Hatton,England,ENG,"Built for the big stage but remains on the prowl for his first title in a major. After top 10s at the Masters and the U.S. Open, he’s now fresh off a T17 at the Genesis Scottish Open where he paced the field in SG: Putting.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
8,51766,Wyndham Clark,United States of America,USA,"Gunning for consecutive wins in majors and his third this season. The through line since he prevailed at THE CJ CUP Byron Nelson has been his reunion with vintage putting. Surged for a T4 at Royal Portrush last year, too.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
7,59095,Chris Gotterup,United States of America,USA,"The winner of the John Deere Classic could’ve used another Sunday 62 in his title defense at The Renaissance Club, but a T11 was impressive, nonetheless. Recorded a personal-best third in The Open at Royal Portrush last year.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
6,52215,Robert MacIntyre,Scotland,SCO,"Not surprisingly, of all of the majors, the Scot has done his best work in this one what with a trio of top 10s contributing to his 6-for-6 slate. Now he’s on the bounce of a T3 at home that trails a T15 and a T10 in the U.S.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
5,46046,Scottie Scheffler,United States of America,USA,"He’s usually the windshield but the world No. 1 was the bug at The Renaissance Club where his streak of paydays ended at 78. However, he’s had more rest to prep for this week’s title defense. Eight straight top 15s in majors.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
4,28237,Rory McIlroy,Northern Ireland,NIR,Win another one of these and he’ll be only another U.S. Open away from a second career Grand Slam. Placed T4 at Royal Birkdale in 2017. Addled by a third-round 73 at The Renaissance Club but rallied with a Sunday 64 for a T7.,The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
3,40098,Matt Fitzpatrick,England,ENG,"Although he’s second in the FedExCup with three wins, two seconds and a T3 (last week in Scotland), he hasn’t recorded a top 10 in a major since a T4 at Royal Portrush last year. Has all of the weapons and they are sharpened.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
2,50525,Collin Morikawa,United States of America,USA,"With noise about his back quiet and with the healthy birth of his firstborn behind him, it’s all systems go for the 2021 Open champ. Chased an up-and-down T17 at the U.S. Open with a solo third at the Travelers Championship.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
1,30911,Tommy Fleetwood,England,ENG,"Although winless in 44 majors, it can be a badge of honor to be one of the best without a title. While the narrative is fodder for fans, experience favors the reigning FedExCup champ. So does his sparkling form. He remains ready.",The Open Championship,graphql,2026-07-15T23:07:42.752546+00:00
