rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,60004,Jacob Bridgeman,United States of America,USA,"With sharper irons to set up his sensational putting early on, the breakthrough winner of The Genesis Invitational has three top 10s among six top 20s this season. T18 last week at Bay Hill. Second appearance at TPC Sawgrass.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
14,40026,Daniel Berger,United States of America,USA,"Didn’t finish what he started at Bay Hill where he settled for second  but his reflection in the immediate aftermath was on point . And now he’s, ahem, treated to TPC Sawgrass where he has two T9s among four top 20s.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
13,47420,Jake Knapp,United States of America,USA,"There are two silver linings to the illness that thwarted a start at Bay Hill last week. For one, it’s not an injury that can impede his torrid form. For another, he rested another week. He’s two-for-two here with a T12 last year.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
12,34098,Russell Henley,United States of America,USA,Still chasing his first top 10 at TPC Sawgrass where he’s settled for no better than a T13 in 2022 among six paydays; he’s been a machine just about everywhere since last summer with seven top 10s and another five top 20s.,THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
11,49960,Sepp Straka,Austria,AUT,"Inconsistent putting has dogged him in five starts this year, but he’s overcome for a T2 (Pebble Beach) among three top 20s. Strengths from tee to green have been the foundation of a T9 (2022) among three top 15s at TPC Sawgrass.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
10,30911,Tommy Fleetwood,England,ENG,"Based on his form that never slumps and how he’s been filling up the box score, it’d be difficult to argue that there’s a better fit for TPC Sawgrass. He’s recorded a pair of top 10s but not since 2019. Placed T14 last year.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
9,46046,Scottie Scheffler,United States of America,USA,"After pacing the TOUR in SG: Approach-the-Green in 2025, the two-time PLAYERS champ lost strokes to the field in that stat in his last two starts. That hasn’t happened at stops for which all courses used are measured since 2020.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
8,37378,Min Woo Lee,Australia,AUS,"For a guy who loves to play aggressively, he’s excelled at TPC Sawgrass with a T6 (2023) and a T20 (2025). Arrives on a T2-T12-T6 heater that reflects an even longer stretch of terrific form. Second on TOUR in the all-around.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
7,28237,Rory McIlroy,Northern Ireland,NIR,"Unlike Knapp, McIlroy’s mid-tournament withdrawal at Bay Hill was due to something physical on which the swing relies –  his back . It’s not optimal in advance of title defense at TPC Sawgrass, but he’ll have had a week to treat it.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
6,32839,Hideki Matsuyama,Japan,JPN,"With four top 10s among seven top 25s and a 63 to open the canceled 2020 edition, he’s as much of a horse for this course as there is. Current form is strong and comes to a track where he’s made noise.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
5,51634,Sahith Theegala,United States of America,USA,One of the best rebound stories of the year. Closed out a season-best T6 at Bay Hill with a field-low 66 on Sunday. He had zero top 10s with an injury last year; this year he’s healthy and has three. Also had a T9 here in 2024.,THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
4,56630,Akshay Bhatia,United States of America,USA,The lefty had been on a tear but special things still can happen even for the best of the best. He competed with a higher purpose en route to  winning the Arnold Palmer Invitational presented by Mastercard . T3 here last year.,THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
3,37455,Si Woo Kim,South Korea,KOR,"Continues to flash the kind of form that fueled victory here in 2017 and a pair of top 10s since. Fresh off a career-best T13 at Bay Hill, he has seven top 15s worldwide in his last nine starts. Ranks second in SG: Tee-to-Green.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
2,52955,Ludvig Åberg,Sweden,SWE,"En route to a T3 at Bay Hill, he led the field in proximity to the hole and par-3 scoring, and he rated very highly in many other metrics that measure the iron game. That’ll play way up here where he placed eighth in 2024.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
1,50525,Collin Morikawa,United States of America,USA,"With his victory drought over and his first child on the way, the 29-year-old is poised for a monster year both professionally and personally. T7-fifth since winning at Pebble Beach, and he’s hung up two top 15s here since 2023.",THE PLAYERS Championship,graphql,2026-03-10T01:39:06.105879+00:00
