rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,57364,Michael Thorbjornsen,United States of America,USA,"Like a few guys with whom he’s included here, needs to win the Valero to play in the Masters, but if he doesn’t, it might be the last one he misses for a while. Four top 25s this season. Leads the PGA TOUR in total driving.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
14,60386,Sudarshan Yellamaraju,Canada,CAN,"The only debutant in the Power Rankings, the lefty is in position to do more than be the  Rookie of the Year.  Second in total driving, T5 in proximity, 19th in SG: Putting and ninth in the all-around. T5-T6 in last two starts.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
13,47993,Denny McCarthy,United States of America,USA,"The Texas Children’s Houston Open isn’t billed as a tuneup for the Valero, but it applies. Snapped out of a funk last week with a steady T12. Now he’s, ahem, treated to TPC San Antonio where he has a P2 (2024) among four top 20s.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
12,27644,Brian Harman,United States of America,USA,"After opening with a pair of 6-under 66s last year, he grinded his way to the checkered flag in vintage fashion. (More on it below.) That’s what we’ve come to expect from the gritty 39-year-old. Off since a T11 at THE PLAYERS.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
11,34046,Jordan Spieth,United States of America,USA,"It’s wild how well he’s played TPC San Antonio given what presents as a mismatch off the tee, but a win (2021) and a runner-up (2015) among five top 15s prove it. The Texan also has two T11s and a T12 in his last four starts.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
10,49960,Sepp Straka,Austria,AUT,"As surgical as he can be from tee to green, he’d likely be a regular on the leaderboard at TPC San Antonio, but he hasn’t appeared since a T22 in 2023. Sits 11th in the FedExCup with two top 10s among four top 20s this season.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
9,51287,Ryo Hisatsune,Japan,JPN,"Already irrefutably a problem from tee to green at just 23 years of age, the rock-solid ball-striker has connected for four top-15 finishes in his last seven starts. The same attack yielded a T5 in his second trip here last year.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
8,34098,Russell Henley,United States of America,USA,"Because he’s been such a beast in the Southeast and at other haunts, it feels out of context to lift expectations in Texas where he appears only occasionally, but he rose for a solo fourth in his last appearance here in 2024.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
7,46442,Maverick McNealy,United States of America,USA,"Arguably known best as a terrific putter but if he wasn’t as efficient tee to green, pouring in putts wouldn't resonate as well. The longest clubs happen to be his best right now. Last year he was T6 in Par-5 Soring, T3 overall here.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
6,39546,Keith Mitchell,United States of America,USA,"His tee-to-green proficiency is as notable as his wardrobe, so it’s no surprise that he’s 4-for-4 at TPC San Antonio with top 20s in his last three. Now he’s fresh off a T14 in Houston where he showed it off. And his game.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
5,37455,Si Woo Kim,South Korea,KOR,"With an uptick in form since the 2025 FedExCup Playoffs, he’s become a fixture in the Power Rankings. He’s second on TOUR in fairways hit, 16th in Greens in Regulation and first in Proximity. T4 here in 2019 among four top 25s.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
4,52215,Robert MacIntyre,Scotland,SCO,"Rested since a solo fourth at THE PLAYERS, the latest superb outcome for the 29-year-old with a consistently strong bag. Carded a trio of 69s here in last year’s debut (T35). The Scot wouldn’t mind if the wind blew a bit, either.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
3,32839,Hideki Matsuyama,Japan,JPN,Drop his tee-to-green control on any course and he’s a threat. Drop it at TPC San Antonio and he’s a target. Went T15-T7 here in 2023 and 2024. The irony is that his last missed cut in a non-major happened to be here a year ago.,Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
2,52955,Ludvig Åberg,Sweden,SWE,"After a series of stumbles to start the season, the Swede has rebounded nicely with a T20, a T3 and a T5 in his last three, all of which premier contests. Just 1-for-3 at TPC San Antonio with a T14 in 2024, but he has momentum.",Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
1,30911,Tommy Fleetwood,England,ENG,The balanced Brit didn’t debut at TPC San Antonio until 2024 but he’s back for a third straight. Finished T7 as a first-timer before getting blown around in the winds of last year’s finale. Top 10s in three of last four starts.,Valero Texas Open,graphql,2026-04-01T12:16:09.869756+00:00
