rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,66417,Blades Brown,United States of America,USA,"The 18-year-old is in the field via his solo third at the Puerto Rico Open where he carded four sub-70s. Also placed T18 at The American Express, so he needs a solo fifth at Copperhead to qualify for  Special Temporary Membership .",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
14,59440,Ricky Castillo,United States of America,USA,"The recent breakthrough champion of the Puerto Rico Open hasn’t missed a beat all season, cashing in all six starts with a balanced skill set. Dazzled at the Copperhead Course last year with a T12 after sharing the opening-round lead.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
13,28723,John Parry,England,ENG,"A debutant hasn’t won the Valspar Championship since Gary Woodland in 2011, but the Englishman has been a quick study in his PGA TOUR rookie season. He’s 6-for-6 with a T8 in his last start and leads the circuit in greens hit.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
12,36689,Brooks Koepka,United States of America,USA,"After returning to the PGA TOUR on the West Coast, it has been no surprise that he’s locked in at home in Florida with a T9 and a T13. His putting remains the weakness, but his tee-to-green is on point. T12 in last trip in 2022.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
11,50095,Austin Smotherman,United States of America,USA,"The 31-year-old continues to excel in his return as a Korn Ferry Tour grad. Co-led THE PLAYERS with an opening-round 67, finished T13 and led the field in SG: Off-the-Tee and greens hit. He’s 2-for-2 at Copperhead with a T25 in 2022.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
10,52453,Nicolai Højgaard,Denmark,DEN,"The 25-year-old Dane hasn’t rested on the Florida Swing, and why would he? After bridging the holidays with three top fives among six top 25s worldwide, he’s gone T6-T24-T27 in the Sunshine State. Sixth in adjusted scoring.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
9,51287,Ryo Hisatsune,Japan,JPN,"Continues to check all boxes at just 23 years of age. A personal-best T13 at THE PLAYERS was his fourth top 15 of the season. Ranks third in greens hit, eighth in SG: Tee-to-Green and 23rd in adjusted scoring. T4 here last year.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
8,51634,Sahith Theegala,United States of America,USA,"Settled for a T32 at THE PLAYERS, but he opened as a co-leader with a 5-under 67 that was an extension of season-long sterling form. Now 8-for-8 with three top 10s among five top 25s. Debuted here with a T7 in 2022.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
7,39997,Corey Conners,Canada,CAN,"Not that his M.O. as a world-class ball-striker doesn’t have value everywhere, but it’s expected to play up at Copperhead. And it has. In three trips, he’s placed T16, T21 and T8. Now fresh off a T13 at THE PLAYERS fueled by it.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
6,46717,Viktor Hovland,Norway,NOR,"It was at Copperhead a year ago when he reignited after extended inconsistency. He hasn’t relented, making the cut in every start worldwide since. Three top 15s this season with T13s in his last two. Also placed T3 here in 2021.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
5,56630,Akshay Bhatia,United States of America,USA,"His T17 at Copperhead last year is as much a reflection of how his game evolved into its full-formed, well-rounded version as any site where he’s had success. The recent champ at Bay Hill piled on with a T13 at THE PLAYERS.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
4,33448,Justin Thomas,United States of America,USA,"No matter his résumé, it was beyond impressive if not unprecedented for him to hang on for a T8 at THE PLAYERS after returning from a microdiscectomy within four months. Runner-up last year among six top 20s here.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
3,40098,Matt Fitzpatrick,England,ENG,"The dark irony of his closing bogey en route to solo second at THE PLAYERS is that he led the field in both fairways hit and total driving. In the macro, it was the latest in a litany of dazzling performances. T5 here in 2022.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
2,48081,Xander Schauffele,United States of America,USA,"With a T5, a pair of T12s and a scoring average of 69 in three appearances, Copperhead fears  him . Now he arrives with a solo third at TPC Sawgrass fueled by elite accuracy and distance control on approach. Four straight top 25s.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
1,60004,Jacob Bridgeman,United States of America,USA,"He did it again, this time at TPC Sawgrass where he led the field in SG: Putting en route to a T5 and return to the top of the FedExCup standings. Four top 10s among seven top 20s on the season. Solo third here a year ago.",Valspar Championship,graphql,2026-03-24T04:22:56.341110+00:00
