rank,player_id,player_name,country,country_flag,analysis,tournament_name,source,scraped_at
15,46717,Viktor Hovland,Norway,NOR,"Making his season debut in what is his first trip to TPC Scottsdale in three years, but he’s already warm in 2026 with a T14 at the Dubai Desert Classic. Six straight top 25s worldwide going back to the FedExCup Playoffs.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
14,60004,Jacob Bridgeman,United States of America,USA,"When a guy reaches the TOUR Championship for the first time, as he did in 2025, there’s value in where he chooses to play the following season when he entirely controls his schedule. Off and running in 2026 with a T4 and a T13.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
13,59836,Pierceson Coody,United States of America,USA,"His 2025 was a model for how to thrive during transition. Fully exempt on the PGA TOUR once again, he’s pounced with a T13, a T18 and a T2 to rise to a career-best 47th in the Official World Golf Ranking. Tournament debutant.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
12,25493,Nick Taylor,Canada,CAN,"As long as he’s close, he’s a threat where he’s performed well in the past. That includes at TPC Scottsdale where he chased a runner-up in 2023 with a playoff win in 2024. Opened 2026 with a T13 as the defending champ at Waialae.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
11,47420,Jake Knapp,United States of America,USA,"The 31-year-old has burst out of the gates to begin his third season. Par or better in every round with trademark driving and putting, he’s delivered a T11 at the Sony Open in Hawaii and a T5 at the Farmers Insurance Open.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
10,34046,Jordan Spieth,United States of America,USA,The priorities of life have him adjusting as a father of three since last summer. He’s competed sparingly since but opened 2026 with a T24 at the Sony Open in Hawaii and has four top fixes at TPC Scottsdale since 2021.,WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
9,54591,Ben Griffin,United States of America,USA,"The newlywed is on the board with two top 25s this year. If not for slow starts in his prior trips to TPC Scottsdale, he could cite the same here, but he is 2-for-2. Also buoyed by an outrageous 2025 and his fit here is sublime.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
8,59095,Chris Gotterup,United States of America,USA,Answered his season-launching victory at the Sony Open with a steady and personal-best T18 at the Farmers Insurance Open. That he’s 0-for-2 at TPC Scottsdale defies who he is now as a well-rounded talent. Enjoy the show.,WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
7,48081,Xander Schauffele,United States of America,USA,"All good things come to an end, as did his consecutive cuts-made streak of 72 last week. He hasn’t missed two in a row on the PGA TOUR in eight years and he’s 6-for-6 with two podiums among four top 10s at TPC Scottsdale.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
6,51634,Sahith Theegala,United States of America,USA,"Healthy and separated from a tough 2025, he’s turned the tables with a pair of top 10s upon arrival for his fifth start at TPC Scottsdale where he’s still out to avenge his close call (T3) in 2022. Also solo fifth in 2024.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
5,46442,Maverick McNealy,United States of America,USA,"No one was beating Justin Rose at Torrey Pines, but McNealy was in position for a spot on the podium until he settled for 10th. His sturdy start to 2026 is met with top 10s in the last two WM Phoenix Opens (14-under in both).",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
4,32839,Hideki Matsuyama,Japan,JPN,"When he’s on, TPC Scottsdale accentuates the best of his skill set ... and he’s on. This match made in the desert has renewed its vows on multiple occasions. Overall, he’s 11-for-12 with two wins and a T2 among five top 10s.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
3,37455,Si Woo Kim,South Korea,KOR,"Good luck finding another pro who’s been as nails as he’s been but without a win in his last 10 starts worldwide. Dating back to the FedExCup Playoffs, he’s posted four top fives and no worse than T21. Top 25s in last three here.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
2,57366,Cameron Young,United States of America,USA,"Proved in his last five official starts of 2025 that his game travels week over week, but TPC Scottsdale is as good a fit as any for his skill set off the tee and on the greens. Already 4-for-4 with a T8 and a T12 since 2024.",WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
1,46046,Scottie Scheffler,United States of America,USA,Season-opening victory at The American Express. Check. Twenty PGA TOUR wins. Check. Eclipsed $100 million in career earnings. Check. World No. 1. Check. Two-time champion at WM Phoenix Open. Check. Pay that man.,WM Phoenix Open,graphql,2026-02-03T04:35:15.698587+00:00
