,player_id,player_name,tournament_id,tournament_name,year,average_distance_of_birdie_putts_made_tot_birdie_putts_made,average_distance_of_birdie_putts_made_tot_dist_ft,average_distance_of_eagle_putts_made_longest_made_ft,average_distance_of_eagle_putts_made_tot_dist_ft,average_distance_of_eagle_putts_made_tot_eagles_putts_made,birdie_or_better_percentage_fairway_total_birdies,birdie_or_better_percentage_fairway_total_holes,birdie_or_better_percentage_left_rough_total_birdies,birdie_or_better_percentage_left_rough_total_holes,birdie_or_better_percentage_right_rough_total_birdies,birdie_or_better_percentage_right_rough_total_holes,birdie_or_better_percentage_rough_total_birdies,birdie_or_better_percentage_rough_total_holes,birdie_to_bogey_ratio_total_birdies_and_better,birdie_to_bogey_ratio_total_bogeys_and_worse,birdie_to_bogey_ratio_value,bogey_average_average_bogeys_per_round,bogey_average_rounds_played,bogey_average_total_bogeys,bogey_avoidance_bogeys,bogey_avoidance_holes_played,bonus_putting_attempts_le_5ft,bonus_putting_tot_made_ge_20ft,bonus_putting_tot_made_le_5ft,bonus_putting_value,putting_from_15_25_attempts,putting_from_15_25_putts_made,putting_from_3_5_attempts,putting_from_3_5_putts_made,putting_from_5_15_attempts,putting_from_5_15_putts_made,putting_from_gt_20_attempts,putting_from_gt_20_putts_made,reverse_bounce_back_total_under_then_over_par,reverse_bounce_back_under_par,stroke_differential_field_average_field_average_score,stroke_differential_field_average_players_score,stroke_differential_field_average_stroke_differential,strokes_gained_approach_the_green_avg,strokes_gained_approach_the_green_measured_rounds,strokes_gained_approach_the_green_total_app,strokes_gained_around_the_green_avg,strokes_gained_around_the_green_measured_rounds,strokes_gained_around_the_green_total_arg,strokes_gained_off_the_tee_avg,strokes_gained_off_the_tee_measured_rounds,strokes_gained_off_the_tee_total_ott,strokes_gained_putting_avg,strokes_gained_putting_measured_rounds,strokes_gained_putting_total_putting,strokes_gained_tee_to_green_apr,strokes_gained_tee_to_green_arg,strokes_gained_tee_to_green_avg,strokes_gained_tee_to_green_measured_rounds,strokes_gained_tee_to_green_ott,strokes_gained_total_avg,strokes_gained_total_measured_rounds,strokes_gained_total_total_p,strokes_gained_total_total_t,strokes_gained_total_total_t2g,total_putting_total,strokes_gained_total_avg_tz,strokes_gained_tee_to_green_avg_tz,strokes_gained_putting_avg_tz,strokes_gained_off_the_tee_avg_tz,strokes_gained_around_the_green_avg_tz,strokes_gained_approach_the_green_avg_tz,birdie_to_bogey_ratio_value_tz,strokes_gained_total_avg_tz_roll3,strokes_gained_total_avg_tz_vol3,strokes_gained_total_avg_tz_roll5,strokes_gained_total_avg_tz_vol5,strokes_gained_total_avg_tz_roll10,strokes_gained_total_avg_tz_vol10,strokes_gained_tee_to_green_avg_tz_roll3,strokes_gained_tee_to_green_avg_tz_vol3,strokes_gained_tee_to_green_avg_tz_roll5,strokes_gained_tee_to_green_avg_tz_vol5,strokes_gained_tee_to_green_avg_tz_roll10,strokes_gained_tee_to_green_avg_tz_vol10,strokes_gained_putting_avg_tz_roll3,strokes_gained_putting_avg_tz_vol3,strokes_gained_putting_avg_tz_roll5,strokes_gained_putting_avg_tz_vol5,strokes_gained_putting_avg_tz_roll10,strokes_gained_putting_avg_tz_vol10,strokes_gained_off_the_tee_avg_tz_roll3,strokes_gained_off_the_tee_avg_tz_vol3,strokes_gained_off_the_tee_avg_tz_roll5,strokes_gained_off_the_tee_avg_tz_vol5,strokes_gained_off_the_tee_avg_tz_roll10,strokes_gained_off_the_tee_avg_tz_vol10,strokes_gained_approach_the_green_avg_tz_roll3,strokes_gained_approach_the_green_avg_tz_vol3,strokes_gained_approach_the_green_avg_tz_roll5,strokes_gained_approach_the_green_avg_tz_vol5,strokes_gained_approach_the_green_avg_tz_roll10,strokes_gained_approach_the_green_avg_tz_vol10,strokes_gained_around_the_green_avg_tz_roll3,strokes_gained_around_the_green_avg_tz_vol3,strokes_gained_around_the_green_avg_tz_roll5,strokes_gained_around_the_green_avg_tz_vol5,strokes_gained_around_the_green_avg_tz_roll10,strokes_gained_around_the_green_avg_tz_vol10,birdie_to_bogey_ratio_value_tz_roll3,birdie_to_bogey_ratio_value_tz_vol3,birdie_to_bogey_ratio_value_tz_roll5,birdie_to_bogey_ratio_value_tz_vol5,birdie_to_bogey_ratio_value_tz_roll10,birdie_to_bogey_ratio_value_tz_vol10,finish_position,total_score,earnings,made_cut,status,strokes_gained_total_avg_tz_missing,strokes_gained_tee_to_green_avg_tz_missing,strokes_gained_putting_avg_tz_missing,strokes_gained_off_the_tee_avg_tz_missing,strokes_gained_around_the_green_avg_tz_missing,strokes_gained_approach_the_green_avg_tz_missing,birdie_to_bogey_ratio_value_tz_missing,finish_percentile,log_earnings,withdrawn,cut,finish_position_num,strokes_gained_total_avg_r5,strokes_gained_tee_to_green_avg_r5,strokes_gained_putting_avg_r5,strokes_gained_off_the_tee_avg_r5,strokes_gained_approach_the_green_avg_r5,birdie_to_bogey_ratio_value_r5,finish_percentile_r5,made_cut_int,cut_rate_r5,field_strength
0,1810,Phil Mickelson,R2025100,The Open Championship,2025,,,,,,,,,,,,,,13.0,12.0,1.08,2.75,4.0,11.0,12.0,72.0,,,,,,,,,,,,,1.0,13.0,71.08,71.25,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.634883107372778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.634883107372778,,-0.634883107372778,,-0.634883107372778,,56.0,285,42333.0,True,complete,1,1,1,1,1,1,0,0.2,10.653345824680116,False,False,56.0,,,,,,,,1,,
1,10860,Justin Leonard,R2025100,The Open Championship,2025,,,,,,,,,,,,,,11.0,13.0,0.85,3.25,4.0,13.0,13.0,72.0,,,,,,,,,,,,,3.0,11.0,71.08,71.5,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9639757676658153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9639757676658153,,-0.9639757676658153,,-0.9639757676658153,,59.0,286,41550.0,True,complete,1,1,1,1,1,1,0,0.16428571428571428,10.634676867382668,False,False,59.0,,,,,,,,1,,
2,12716,Charley Hoffman,R2025002,The American Express,2025,7.0,56.5,,,,5.0,27.0,1.0,4.0,1.0,4.0,2.0,8.0,24.0,4.0,6.0,0.75,4.0,3.0,4.0,72.0,30.0,0.0,30.0,100.0,8.0,1.0,7.0,7.0,15.0,5.0,6.0,0.0,1.0,24.0,69.39,67.0,2.39,0.399,2.0,0.798,0.34,2.0,0.681,1.086,2.0,2.171,-1.005,2.0,-2.01,0.399,0.34,1.825,2.0,1.086,0.82,2.0,-2.01,1.64,3.65,57.5,-0.10641139565086287,0.7866016498110574,-1.047172055037232,1.356855049845028,0.11390602662111995,-0.012152193348347409,1.167470811576993,-0.10641139565086287,,-0.10641139565086287,,-0.10641139565086287,,0.7866016498110574,,0.7866016498110574,,0.7866016498110574,,-1.047172055037232,,-1.047172055037232,,-1.047172055037232,,1.356855049845028,,1.356855049845028,,1.356855049845028,,-0.012152193348347409,,-0.012152193348347409,,-0.012152193348347409,,0.11390602662111995,,0.11390602662111995,,0.11390602662111995,,1.167470811576993,,1.167470811576993,,1.167470811576993,,5.0,268,339900.0,True,complete,0,0,0,0,0,0,0,0.9366197183098591,12.736409677721657,False,False,5.0,,,,,,,,1,,1.0173239436619719
3,12716,Charley Hoffman,R2025004,Farmers Insurance Open,2025,6.0,49.5,,,,6.0,38.0,0.0,3.0,1.0,8.0,1.0,11.0,11.0,12.0,0.92,3.0,4.0,12.0,12.0,72.0,45.0,0.0,43.0,95.56,8.0,1.0,6.0,4.0,21.0,9.0,14.0,0.0,2.0,9.0,73.1,72.0,1.1,0.318,3.0,0.955,0.913,3.0,2.738,0.847,3.0,2.541,-0.68,3.0,-2.04,0.318,0.913,2.078,3.0,0.847,1.398,3.0,-2.04,4.194,6.234,108.2,0.5579253820201092,1.4035896551281921,-0.881487944693648,1.1995067388451661,1.2351595391195742,0.1539383704542414,-0.2446292873377227,0.22575699318462317,0.4697570404827641,0.22575699318462317,0.4697570404827641,0.22575699318462317,0.4697570404827641,1.0950956524696247,0.43627640247050764,1.0950956524696247,0.43627640247050764,1.0950956524696247,0.43627640247050764,-0.96432999986544,0.11715635795880848,-0.96432999986544,0.11715635795880848,-0.96432999986544,0.11715635795880848,1.278180894345097,0.1112620577162521,1.278180894345097,0.1112620577162521,1.278180894345097,0.1112620577162521,0.070893088552947,0.11744376395590748,0.070893088552947,0.11744376395590748,0.070893088552947,0.11744376395590748,0.6745327828703471,0.7928459621168924,0.6745327828703471,0.7928459621168924,0.6745327828703471,0.7928459621168924,0.4614207621196351,0.99850555565679,0.4614207621196351,0.99850555565679,0.4614207621196351,0.99850555565679,25.0,288,74067.86,True,complete,0,0,0,0,0,0,0,0.6142857142857143,11.212750480042398,False,False,25.0,,,,,,,,1,,0.5981142857142857
4,12716,Charley Hoffman,R2025006,Sony Open in Hawaii,2025,14.0,132.917,11.0,11.083,1.0,10.0,46.0,1.0,7.0,1.0,11.0,2.0,18.0,15.0,9.0,1.67,2.0,4.0,8.0,9.0,72.0,62.0,2.0,56.0,93.55,18.0,2.0,12.0,7.0,29.0,13.0,29.0,2.0,2.0,12.0,68.68,68.75,-0.07,1.068,4.0,4.271,-0.396,4.0,-1.585,0.95,4.0,3.801,-1.696,4.0,-6.785,1.068,-0.396,1.622,4.0,0.95,-0.075,4.0,-6.785,-0.299,6.486,132.4,-0.7848814446389448,1.6295401236291072,-2.5877800666403346,1.6316919217280195,-1.0098075177036923,1.0959222064133904,-0.5940824267535281,-0.1111224860898995,0.671415809473074,-0.1111224860898995,0.671415809473074,-0.1111224860898995,0.671415809473074,1.2732438095227856,0.43632424555669275,1.2732438095227856,0.43632424555669275,1.2732438095227856,0.43632424555669275,-1.505480022123738,0.9409531581729008,-1.505480022123738,0.9409531581729008,-1.505480022123738,0.9409531581729008,1.3960179034727378,0.21873798230776118,1.3960179034727378,0.21873798230776118,1.3960179034727378,0.21873798230776118,0.4125694611730948,0.5975991546736422,0.4125694611730948,0.5975991546736422,0.4125694611730948,0.5975991546736422,0.11308601601233399,1.1224837530532363,0.11308601601233399,1.1224837530532363,0.11308601601233399,1.1224837530532363,0.10958636582858072,0.9326676790686003,0.10958636582858072,0.9326676790686003,0.10958636582858072,0.9326676790686003,59.0,275,19314.0,True,complete,0,0,0,0,0,0,0,0.20394736842105263,9.868637275100381,False,False,59.0,1.109,1.9514999999999998,-0.8425,0.9665,0.35850000000000004,3.46,0.7754527162977867,1,0.0,0.6947368421052632
5,12716,Charley Hoffman,R2025010,Cognizant Classic in The Palm Beaches,2025,20.0,223.417,,,,18.0,47.0,1.0,7.0,1.0,12.0,2.0,19.0,21.0,9.0,2.33,2.0,4.0,8.0,9.0,72.0,54.0,3.0,53.0,103.7,14.0,2.0,9.0,8.0,27.0,14.0,25.0,3.0,4.0,17.0,69.38,68.25,1.13,0.505,4.0,2.02,-0.345,4.0,-1.38,0.319,4.0,1.276,0.65,4.0,2.6,0.505,-0.345,0.479,4.0,0.319,1.129,4.0,2.6,4.516,1.916,74.1,0.3287157874807578,-0.002666082577825442,0.3970405584075326,0.4040103535700901,-0.8693831769191801,0.25660945709880495,-0.16940594202005843,0.0339199082873074,0.7183042539360457,-0.0011629176972351718,0.5906752233938091,-0.0011629176972351718,0.5906752233938091,1.0101545653931578,0.8843741585274968,0.9542663364976328,0.7306885415121318,0.9542663364976328,0.7306885415121318,-1.0240758176421498,1.4975102727733687,-1.0298498769909206,1.2227665505265637,-1.0298498769909206,1.2227665505265637,1.0784030047144253,0.6227359745622417,1.1480160159970758,0.5271786048092972,1.1480160159970758,0.5271786048092972,0.5021566779888123,0.5167721597253307,0.3735794601545223,0.49412958539450724,0.3735794601545223,0.49412958539450724,-0.21467705183443267,1.2575568990002175,-0.13253128222054453,1.0398515660150063,-0.13253128222054453,1.0398515660150063,-0.33603921870376974,0.22661500576010685,0.039838288866420934,0.7741910896838178,0.039838288866420934,0.7741910896838178,25.0,273,73271.43,True,complete,0,0,0,0,0,0,0,0.6029411764705882,11.201939691610205,False,False,25.0,0.7143333333333333,1.8416666666666668,-1.127,0.961,0.5950000000000001,2.8633333333333333,0.5849509336722086,1,0.0,0.7797352941176471
6,12716,Charley Hoffman,R2025011,THE PLAYERS Championship,2025,10.0,45.083,17.0,17.25,1.0,12.0,52.0,0.0,3.0,2.0,9.0,2.0,12.0,14.0,14.0,1.0,3.0,4.0,12.0,14.0,72.0,63.0,0.0,62.0,98.41,10.0,1.0,19.0,18.0,19.0,6.0,22.0,0.0,1.0,13.0,72.65,72.75,-0.1,0.433,4.0,1.731,-0.246,4.0,-0.983,0.346,4.0,1.383,-0.629,4.0,-2.517,0.433,-0.246,0.533,4.0,0.346,-0.097,4.0,-2.517,-0.386,2.131,94.6,-0.7493676204231404,-0.15556423362485203,-0.9544747815494912,0.1882775396120433,-0.5652981120160108,0.03509185673522626,-0.7134620264258473,-0.4018444258604425,0.632932837602429,-0.1508038582424162,0.6112568773312304,-0.1508038582424162,0.6112568773312304,0.49043660247547666,0.9894503954604548,0.7323002224731359,0.8042226603363801,0.7323002224731359,0.8042226603363801,-1.0484047632607643,1.4946255959356496,-1.0147748579026348,1.0594832744397311,-1.0147748579026348,1.0594832744397311,0.7413266049700509,0.7785871561480463,0.9560683207200693,0.6266239299909321,0.9560683207200693,0.6266239299909321,0.4625411734158072,0.5595946403768748,0.3058819394706631,0.45391387608809497,0.3058819394706631,0.45391387608809497,-0.814829602212961,0.22722064677560463,-0.21908464817963774,0.9211003665736647,-0.21908464817963774,0.9211003665736647,-0.4923167983998113,0.28594831365197765,-0.11082177419203272,0.7503473565711077,-0.11082177419203272,0.7503473565711077,54.0,291,58250.0,True,complete,0,0,0,0,0,0,0,0.2361111111111111,10.972516538662564,False,False,54.0,0.818,1.5010000000000001,-0.68275,0.8005,0.5725,2.73,0.5894484943718036,1,0.0,0.9454027777777778
7,12716,Charley Hoffman,R2025020,Texas Children's Houston Open,2025,11.0,114.333,,,,6.0,46.0,3.0,13.0,2.0,10.0,5.0,23.0,12.0,11.0,1.09,2.75,4.0,11.0,11.0,72.0,66.0,1.0,61.0,93.94,18.0,4.0,22.0,17.0,20.0,6.0,29.0,1.0,0.0,10.0,68.69,69.5,-0.81,0.007,4.0,0.028,0.353,4.0,1.413,-0.079,4.0,-0.318,-1.095,4.0,-4.381,0.007,0.353,0.281,4.0,-0.079,-0.815,4.0,-4.381,-3.258,1.122,107.7,-1.4766740579121318,-0.2236325073494015,-1.774772603454916,-0.37377105495679286,0.4348495730335858,-0.37828885193448825,-0.9095638776677359,-0.6324419636181715,0.9083566647393497,-0.42485639069466996,0.8477878601482077,-0.37178222485403545,0.7693481702908096,-0.1272876078506929,0.11316455228101628,0.5302533910410441,0.9074470340012125,0.5729781008360463,0.81836452793146,-0.7774022755322916,1.0966809503224495,-1.1602949675861713,1.113629844082064,-1.141441148828015,0.9971308553017433,0.0728389460751135,0.40153521828209965,0.6099430997597052,0.8030348090965237,0.7344284247739257,0.7803021854127598,-0.02886251270015235,0.3222446069847276,0.23265460775343497,0.5395099580274585,0.19185347423647123,0.49279325363304904,-0.3332772386338683,0.6823716221943125,-0.15489593889714462,0.9604490831612673,-0.11009561131076717,0.8660325451086326,-0.5974772820378805,0.38346810574494244,-0.5262287120409785,0.3135390785135625,-0.24394545810464993,0.7461557583516981,64.0,278,20425.0,True,complete,0,0,0,0,0,0,0,0.07246376811594203,9.924563878138045,False,False,64.0,0.635,1.3074,-0.6719999999999999,0.7096,0.5446000000000001,2.384,0.5187810177196651,1,0.0,0.7908115942028986
8,12716,Charley Hoffman,R2025032,RBC Canadian Open,2025,10.0,59.917,24.0,24.333,1.0,13.0,64.0,0.0,2.0,0.0,4.0,0.0,6.0,13.0,13.0,1.0,3.25,4.0,13.0,13.0,72.0,60.0,1.0,58.0,98.33,18.0,1.0,10.0,8.0,27.0,11.0,24.0,1.0,3.0,12.0,68.5,69.75,-1.25,-0.153,4.0,-0.614,0.197,4.0,0.787,0.009,4.0,0.035,-1.304,4.0,-5.218,-0.153,0.197,0.052,4.0,0.009,-1.253,4.0,-5.218,-5.01,0.208,98.8,-2.1485551307799686,-0.6500931172660089,-2.180084175145555,-0.24365141784793967,0.34201299604465896,-0.7331720957088431,-1.301245718758595,-1.458198936371747,0.6997766928610752,-0.9661524932546858,0.9240193455518985,-0.6256069257005974,0.971718078419408,-0.3430966194134208,0.2680363030305346,0.11951683656220391,0.8776131752725115,0.39825364110718126,0.8785219831853237,-1.6364438533833205,0.6244042991043586,-1.4200142136765528,1.1816991956937042,-1.2898187240162347,0.9912969379690458,-0.14304831106422974,0.2942199763529006,0.32131146842108405,0.797489316761505,0.5947027329708021,0.8025308715447054,-0.3587896969693684,0.384502975202418,0.05523251452081805,0.6952546221554754,0.059706964244283456,0.5697454634106472,0.07052148568741136,0.5525889775633979,-0.33352524751212764,0.679148708597876,-0.04550866740284916,0.8088328757658562,-0.9747572076173928,0.2992658432656877,-0.737551998325153,0.41572000285623417,-0.39498835248378494,0.7897181172406712,67.0,279,20874.0,True,complete,0,0,0,0,0,0,0,0.029411764705882353,9.946307549719057,False,False,67.0,0.308,0.9986,-0.69,0.4765999999999999,0.4662,1.402,0.34594982768088167,1,0.0,0.8984852941176471
9,12716,Charley Hoffman,R2025522,Corales Puntacana Championship,2025,,,,,,,,,,,,,,16.0,5.0,3.2,1.0,4.0,4.0,5.0,72.0,,,,,,,,,,,,,2.0,14.0,71.49,69.25,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5327598209144284,-1.8126145943460503,0.4750916627757401,-1.011470255408621,1.0605302152671594,-0.6256069257005974,0.971718078419408,-0.4368628123077052,0.30155318918098734,-0.2579889852045219,0.27725237137079073,0.39825364110718126,0.8785219831853237,-1.9774283893002353,0.28659856083582774,-1.1280727504356074,1.137402830608298,-1.2898187240162347,0.9912969379690458,-0.30871123640236625,0.0920084777651967,-0.00628364490564981,0.3640447206428612,0.5947027329708021,0.8025308715447054,-0.5557304738216657,0.2509403482023255,-0.20493990845232504,0.43959153957580877,0.059706964244283456,0.5697454634106472,0.38843128453912246,0.06564537313101902,-0.16445467996423652,0.6514790191918004,-0.04550866740284916,0.8088328757658562,0.10731674149603254,2.1096052390871676,-0.11218354879156163,1.5338040839551563,-0.029019830809008273,1.2672903559603574,9.0,277,109000.0,True,complete,1,1,1,1,1,1,0,0.8714285714285714,11.599112335481124,False,False,9.0,-0.2222,0.5934000000000001,-0.8148,0.309,0.372,1.418,0.2289750377649153,1,0.0,
