tournament_id,year,player_id,player_name,position,total_score,to_par,fedex_points,earnings,rounds_played,tournament_name,player_name_stats,sg_putt,sg_total,sg_ott,sg_app,sg_t2g,venue_clean,hist_times_played,hist_avg_finish,hist_best_finish,hist_wins,hist_top5s,hist_top10s,position_num,won,top5,top10,top20,venue_avg_finish,venue_finish_std
R2020002,2020,33410,Andrew Landry,1,262,-26,500.000,"$1,206,000.00",4,The American Express,Andrew Landry,1.807,1.187,1.964,-0.929,2.223,THE AMERICAN EXPRESS,0,,,0,0,0,1,1,1,1,1,559.7461538461539,481.1198182472013
R2020002,2020,45526,Abraham Ancer,2,264,-24,300.000,"$730,300.00",4,The American Express,Abraham Ancer,2.379,0.693,1.759,0.872,3.324,THE AMERICAN EXPRESS,0,,,0,0,0,2,0,1,1,1,559.7461538461539,481.1198182472013
R2020002,2020,46046,Scottie Scheffler,3,265,-23,190.000,"$462,300.00",4,The American Express,Scottie Scheffler,0.484,1.121,0.516,0.083,1.719,THE AMERICAN EXPRESS,0,,,0,0,0,3,0,1,1,1,559.7461538461539,481.1198182472013
R2020002,2020,49960,Sepp Straka,T4,268,-20,122.500,"$301,500.00",4,The American Express,Sepp Straka,1.752,0.918,2.811,-0.592,3.137,THE AMERICAN EXPRESS,0,,,0,0,0,4,0,1,1,1,559.7461538461539,481.1198182472013
R2020002,2020,34021,Bud Cauley,T4,268,-20,122.500,"$301,500.00",4,The American Express,Bud Cauley,1.105,0.59,0.633,-0.124,1.098,THE AMERICAN EXPRESS,0,,,0,0,0,4,0,1,1,1,559.7461538461539,481.1198182472013
R2020002,2020,34314,Sebastian Cappelen,T6,269,-19,88.750,"$218,587.50",4,The American Express,Sebastian Cappelen,1.507,0.481,-0.502,-0.097,-0.118,THE AMERICAN EXPRESS,0,,,0,0,0,6,0,0,1,1,559.7461538461539,481.1198182472013
R2020002,2020,26596,Ryan Moore,T6,269,-19,88.750,"$218,587.50",4,The American Express,Ryan Moore,0.592,-0.07,2.66,-0.979,1.611,THE AMERICAN EXPRESS,0,,,0,0,0,6,0,0,1,1,559.7461538461539,481.1198182472013
R2020002,2020,47504,Sam Burns,T6,269,-19,88.750,"$218,587.50",4,The American Express,Sam Burns,0.867,0.069,1.349,1.244,2.663,THE AMERICAN EXPRESS,0,,,0,0,0,6,0,0,1,1,559.7461538461539,481.1198182472013
R2020002,2020,35532,Tom Hoge,T6,269,-19,88.750,"$218,587.50",4,The American Express,Tom Hoge,1.119,0.408,2.237,0.265,2.911,THE AMERICAN EXPRESS,0,,,0,0,0,6,0,0,1,1,559.7461538461539,481.1198182472013
R2020002,2020,39971,Sungjae Im,T10,270,-18,67.500,"$162,475.00",4,The American Express,Sungjae Im,1.33,-0.563,0.173,0.763,0.373,THE AMERICAN EXPRESS,0,,,0,0,0,10,0,0,1,1,559.7461538461539,481.1198182472013
R2020002,2020,34213,Grayson Murray,T10,270,-18,67.500,"$162,475.00",4,The American Express,Grayson Murray,1.497,1.08,1.22,1.732,4.033,THE AMERICAN EXPRESS,0,,,0,0,0,10,0,0,1,1,559.7461538461539,481.1198182472013
