player_id,player_name,course_id,avg_finish_at_course,best_finish_at_course,times_played_at_course,total_earnings_at_course,made_cut_rate_at_course,last_year_played_at_course,years_since_played,course_experience
1098,Jay Don Blake,6,,,0,0.0,0.0,2024,2,Rookie
1200,Keith Clearwater,9,,,0,0.0,0.0,2021,5,Rookie
1249,John Daly,4,,,0,0.0,0.0,2021,5,Rookie
1249,John Daly,5,,,0,0.0,0.0,2021,5,Rookie
1249,John Daly,31,,,0,0.0,0.0,2024,2,Rookie
1388,Robert Gamez,2,,,0,0.0,0.0,2021,5,Rookie
1547,Reed Hughes,39,,,0,0.0,0.0,2024,2,Rookie
1553,John Huston,0,,,0,0.0,0.0,2022,4,Rookie
1553,John Huston,34,,,0,0.0,0.0,2022,4,Rookie
1569,Peter Jacobsen,4,,,0,0.0,0.0,2022,4,Rookie
1599,Steve Jones,1,,,0,0.0,0.0,2021,5,Rookie
1604,Steve Jurgensen,27,,,0,0.0,0.0,2023,3,Rookie
1677,Tom Lehman,4,,,0,0.0,0.0,2022,4,Rookie
1706,Davis Love III,1,,,0,0.0,0.0,2022,4,Rookie
1706,Davis Love III,4,,,0,0.0,0.0,2022,4,Rookie
1706,Davis Love III,35,,,0,0.0,0.0,2023,3,Rookie
1706,Davis Love III,36,,,0,0.0,0.0,2022,4,Rookie
1706,Davis Love III,37,68.0,68.0,1,15048.0,0.3333333333333333,2024,2,Rookie
1706,Davis Love III,44,,,0,0.0,0.0,2021,5,Rookie
1706,Davis Love III,51,,,0,0.0,0.0,2023,3,Rookie
1706,Davis Love III,52,,,0,0.0,0.0,2022,4,Rookie
1706,Davis Love III,57,,,0,0.0,0.0,2022,4,Rookie
1810,Phil Mickelson,1,,,0,0.0,0.0,2022,4,Rookie
1810,Phil Mickelson,4,,,0,0.0,0.0,2021,5,Rookie
1810,Phil Mickelson,7,66.0,66.0,1,19475.0,1.0,2021,5,Rookie
1810,Phil Mickelson,9,,,0,0.0,0.0,2021,5,Rookie
1810,Phil Mickelson,15,53.0,53.0,1,17496.43,0.5,2022,4,Rookie
1810,Phil Mickelson,17,36.0,36.0,1,32608.33,1.0,2022,4,Rookie
1810,Phil Mickelson,21,25.0,25.0,1,54950.0,1.0,2021,5,Rookie
1810,Phil Mickelson,29,,,0,0.0,0.0,2021,5,Rookie
1810,Phil Mickelson,31,29.5,1.0,2,2193250.0,0.6666666666666666,2024,2,Familiar
1810,Phil Mickelson,32,35.0,35.0,1,73125.0,1.0,2021,5,Rookie
1810,Phil Mickelson,36,74.0,74.0,1,14700.0,1.0,2021,5,Rookie
1810,Phil Mickelson,38,44.0,44.0,1,22770.0,1.0,2021,5,Rookie
1810,Phil Mickelson,41,30.0,30.0,1,108000.0,1.0,2022,4,Rookie
1810,Phil Mickelson,47,61.0,61.0,1,16206.0,1.0,2021,5,Rookie
1810,Phil Mickelson,48,,,0,0.0,0.0,2024,2,Rookie
1810,Phil Mickelson,49,,,0,0.0,0.0,2021,5,Rookie
1810,Phil Mickelson,50,,,0,0.0,0.0,2021,5,Rookie
1810,Phil Mickelson,51,,,0,0.0,0.0,2021,5,Rookie
1810,Phil Mickelson,52,,,0,0.0,0.0,2021,5,Rookie
1810,Phil Mickelson,53,,,0,0.0,0.0,2021,5,Rookie
1810,Phil Mickelson,55,69.0,69.0,1,16767.0,1.0,2021,5,Rookie
1810,Phil Mickelson,59,76.0,76.0,1,13120.0,1.0,2021,5,Rookie
1978,Fran Quinn,48,,,0,0.0,0.0,2022,4,Rookie
6132,Sonny Skinner,31,,,0,0.0,0.0,2021,5,Rookie
6515,Shaun Micheel,31,,,0,0.0,0.0,2024,2,Rookie
6522,Ernie Els,35,56.0,56.0,1,46200.0,1.0,2023,3,Rookie
6527,Steve Stricker,0,,,0,0.0,0.0,2021,5,Rookie
6527,Steve Stricker,1,,,0,0.0,0.0,2021,5,Rookie
6527,Steve Stricker,2,63.0,63.0,1,20181.0,1.0,2021,5,Rookie
6527,Steve Stricker,15,60.0,60.0,1,16575.0,1.0,2021,5,Rookie
6527,Steve Stricker,21,13.0,13.0,1,125416.67,1.0,2021,5,Rookie
6527,Steve Stricker,24,41.0,41.0,1,22630.0,1.0,2021,5,Rookie
6527,Steve Stricker,31,44.0,44.0,1,31300.0,1.0,2021,5,Rookie
6527,Steve Stricker,32,,,0,0.0,0.0,2024,2,Rookie
6527,Steve Stricker,49,,,0,0.0,0.0,2021,5,Rookie
6527,Steve Stricker,54,4.0,4.0,1,307208.33,1.0,2021,5,Rookie
6567,Vijay Singh,21,,,0,0.0,0.0,2021,5,Rookie
6567,Vijay Singh,44,,,0,0.0,0.0,2021,5,Rookie
6643,Paul Goydos,0,58.0,58.0,1,16800.0,1.0,2022,4,Rookie
6643,Paul Goydos,2,,,0,0.0,0.0,2021,5,Rookie
6731,Jeff Roth,36,,,0,0.0,0.0,2021,5,Rookie
8075,Jerry Kelly,32,54.0,54.0,1,58000.0,0.5,2023,3,Rookie
8075,Jerry Kelly,44,73.0,73.0,1,13134.0,0.3333333333333333,2023,3,Rookie
8075,Jerry Kelly,54,,,0,0.0,0.0,2021,5,Rookie
8385,Omar Uresti,5,,,0,0.0,0.0,2023,3,Rookie
8385,Omar Uresti,24,67.0,67.0,1,14910.0,1.0,2022,4,Rookie
8385,Omar Uresti,30,,,0,0.0,0.0,2021,5,Rookie
8385,Omar Uresti,31,,,0,0.0,0.0,2021,5,Rookie
8385,Omar Uresti,34,,,0,0.0,0.0,2023,3,Rookie
8385,Omar Uresti,52,,,0,0.0,0.0,2022,4,Rookie
8793,Tiger Woods,18,45.0,45.0,1,59560.0,0.5,2024,2,Rookie
8793,Tiger Woods,31,,,0,0.0,0.0,2024,2,Rookie
8793,Tiger Woods,48,,,0,0.0,0.0,2024,2,Rookie
8793,Tiger Woods,49,,,0,0.0,0.0,2021,5,Rookie
8793,Tiger Woods,59,72.0,72.0,1,13600.0,1.0,2021,5,Rookie
9011,David Duval,4,,,0,0.0,0.0,2021,5,Rookie
10201,Matt Gogel,4,,,0,0.0,0.0,2021,5,Rookie
10375,Sean McCarty,24,,,0,0.0,0.0,2022,4,Rookie
10375,Sean McCarty,31,,,0,0.0,0.0,2022,4,Rookie
10381,Curtis Thompson,0,,,0,0.0,0.0,2022,4,Rookie
10381,Curtis Thompson,1,,,0,0.0,0.0,2022,4,Rookie
10381,Curtis Thompson,3,,,0,0.0,0.0,2022,4,Rookie
10381,Curtis Thompson,4,49.0,49.0,1,21088.8,1.0,2022,4,Rookie
