course_key,course_name,course_type,total_par,total_yardage,avg_scoring_diff,par3_count,par4_count,par5_count,avg_par3_yards,avg_par4_yards,avg_par5_yards,birdie_opportunity_score,accuracy_demand_score
accordia golf narashino country club,ACCORDIA GOLF Narashino Country Club,parkland,70,7079,-0.07572222222222222,5,10,3,175.2,444.6,585.6666666666666,6.269999999999999,0.6581111111111106
arnold palmer s bay hill club and lodge,Arnold Palmer's Bay Hill Club & Lodge,florida parkland,72,7466,0.03205555555555556,4,10,4,216.5,437.0,557.5,8.65,1.9474444444444443
black desert resort,Black Desert Resort,unknown,71,7421,-0.0661111111111111,4,11,3,175.75,449.72727272727275,590.3333333333334,6.013636363636363,0.6572222222222223
castle pines golf club,Castle Pines Golf Club,unknown,72,8130,-0.03483333333333333,4,10,4,221.75,479.3,612.5,8.0,2.1279999999999997
caves valley golf club,Caves Valley Golf Club,unknown,70,7601,0.023666666666666662,4,12,2,226.75,458.75,594.5,4.0,2.2723333333333335
colonial country club,Colonial Country Club,classic parkland,70,7289,0.014555555555555552,4,12,2,209.5,435.9166666666667,610.0,4.704166666666666,1.679111111111111
congaree golf club,Congaree Golf Club,lowcountry links,75,8090,-0.027631578947368424,4,12,3,200.0,455.8333333333333,606.6666666666666,6.0,1.3885964912280702
detroit golf club,Detroit Golf Club,classic parkland,72,7370,-0.134,4,10,4,191.75,428.4,579.75,9.080000000000002,1.3263333333333334
dunes golf and beach club,Dunes Golf and Beach Club,unknown,71,7347,-0.04050000000000001,4,11,3,200.0,441.0,565.3333333333334,6.45,1.4143333333333332
east lake golf club,East Lake Golf Club,classic parkland,70,7440,-0.12144444444444444,4,12,2,226.25,452.0833333333333,555.0,4.0,2.4512222222222224
hamilton golf and country club,Hamilton Golf & Country Club,unknown,70,7084,0.01605555555555556,4,12,2,211.25,426.4166666666667,561.0,5.179166666666665,1.7404444444444445
harbour town golf links,Harbour Town Golf Links,links-style,71,7213,-0.09077777777777779,4,11,3,201.75,427.1818181818182,569.0,7.140909090909091,1.5732222222222223
hurstbourne country club championship course,Hurstbourne Country Club (Championship Course),unknown,70,7056,0.06216666666666667,4,12,2,199.25,428.25,560.0,5.0875,1.4326666666666668
innisbrook resort copperhead course,Innisbrook Resort (Copperhead Course),florida parkland,71,7352,0.04816666666666666,5,9,4,212.0,440.22222222222223,582.5,8.488888888888889,1.8296666666666668
keene trace golf club champion trace,Keene Trace Golf Club (Champion Trace),unknown,72,7328,-0.1465,4,10,4,198.0,433.7,549.75,8.815000000000001,1.5596666666666665
keene trace golf club champions course,Keene Trace Golf Club (Champions Course),midwest parkland,72,7328,-0.08777777777777779,4,10,4,198.0,433.7,549.75,8.815000000000001,1.442222222222222
la quinta country club,La Quinta Country Club,unknown,72,7060,-0.22577777777777777,4,10,4,194.5,414.9,533.25,9.755,1.6015555555555554
memorial park golf course,Memorial Park Golf Course,municipal parkland,70,7475,-0.0631111111111111,5,10,3,191.4,469.0,609.3333333333334,6.0,1.172888888888889
monterey peninsula cc,Monterey Peninsula CC ,unknown,71,6934,-0.05272222222222222,5,9,4,190.6,418.6666666666667,553.25,9.566666666666666,1.1254444444444442
muirfield village golf club,Muirfield Village Golf Club,parkland,72,7569,0.07666666666666667,4,10,4,202.0,448.3,569.5,8.084999999999999,1.5533333333333332
nicklaus tournament course,Nicklaus Tournament Course,unknown,72,7147,-0.24144444444444446,4,10,4,184.5,423.3,544.0,9.334999999999999,1.2995555555555556
oak hill country club east course,Oak Hill Country Club - East Course,unknown,70,7394,0.1481111111111111,4,12,2,202.5,445.5,619.0,4.225,1.712888888888889
oakdale golf and country club,Oakdale Golf & Country Club,unknown,72,7264,-0.012777777777777777,3,12,3,191.0,421.0,546.3333333333334,7.45,1.058888888888889
oakmont country club,Oakmont Country Club,unknown,70,7372,0.2321666666666667,4,12,2,226.75,435.1666666666667,621.5,4.741666666666665,2.6893333333333334
