player_id,player_name,tournament_id,tournament_name,year,position,to_par,total_score,earnings,rounds_played,r1,r2,r3,r4,sg_total,sg_ott,sg_app,sg_arg,sg_putt,sg_t2g,driving_dist,driving_acc,gir_pct,scrambling,scoring_avg,birdie_pct
29910,"Adams, Blake",R2010002,Bob Hope Classic,2010,CUT,-7,281.0,,4,74.0,68.0,69.0,70.0,-1.0415,-0.782,-1.466,-1.574,-0.644,-3.824,,,,,,
DG3629,"Austin, Woody",R2010002,Bob Hope Classic,2010,CUT,+7,295.0,,4,77.0,70.0,73.0,75.0,-3.35325,-0.027,-1.395,-1.127,-2.643,-2.551,,,,,,
DG6277,"Baird, Briny",R2010002,Bob Hope Classic,2010,CUT,-8,280.0,,4,68.0,67.0,75.0,70.0,-0.7915000000000001,0.51,1.026,-0.325,0.32,1.211,,,,,,
24846,"Barnes, Ricky",R2010002,Bob Hope Classic,2010,T33,-13,275.0,,4,67.0,72.0,67.0,69.0,0.70325,-0.122,0.653,0.89,0.734,1.421,,,,,,
DG7577,"Baryla, Chris",R2010002,Bob Hope Classic,2010,CUT,+3,291.0,,4,71.0,78.0,72.0,70.0,-3.2967500000000003,1.015,-0.201,-1.334,-2.323,-0.521,,,,,,
12652,"Beckman, Cameron",R2010002,Bob Hope Classic,2010,CUT,+0,288.0,,4,67.0,74.0,75.0,72.0,-2.54675,-1.166,-1.243,-0.473,-2.96,-2.884,,,,,,
23614,"Beem, Rich",R2010002,Bob Hope Classic,2010,CUT,-6,282.0,,4,71.0,74.0,68.0,69.0,-0.10324999999999995,0.477,-0.598,-0.688,1.615,-0.81,,,,,,
10505,"Bertsch, Shane",R2010002,Bob Hope Classic,2010,T71,-9,279.0,,4,62.0,69.0,77.0,71.0,-0.3669999999999999,-0.459,1.807,-1.592,0.432,-0.244,,,,,,
20070,"Bettencourt, Matt",R2010002,Bob Hope Classic,2010,T39,-16,272.0,,4,71.0,66.0,69.0,66.0,1.383,0.023,-1.513,4.519,0.158,3.03,,,,,,
DG6095,"Bjornstad, Henrik",R2010002,Bob Hope Classic,2010,T42,-12,276.0,,4,68.0,70.0,70.0,68.0,0.20849999999999996,0.462,-0.262,-1.069,2.401,-0.87,,,,,,
28087,"Blanks, Kris",R2010002,Bob Hope Classic,2010,CUT,-4,284.0,,4,69.0,75.0,71.0,69.0,-1.617,0.633,-2.568,-1.014,-2.862,-2.95,,,,,,
24507,"Bohn, Jason",R2010002,Bob Hope Classic,2010,T33,-14,274.0,,4,69.0,72.0,68.0,65.0,1.89675,0.027,1.098,0.101,3.578,1.227,,,,,,
DG8175,"Bolli, Justin",R2010002,Bob Hope Classic,2010,CUT,-7,281.0,,4,70.0,71.0,67.0,73.0,-1.0414999999999999,0.012,-0.235,0.192,-0.437,-0.031,,,,,,
1116,"Bradley, Michael",R2010002,Bob Hope Classic,2010,T42,-12,276.0,,4,74.0,68.0,70.0,64.0,0.45324999999999993,-1.17,-0.412,1.115,-0.376,-0.468,,,,,,
1132,"Brooks, Mark",R2010002,Bob Hope Classic,2010,CUT,-3,285.0,,4,70.0,71.0,73.0,71.0,-1.7967499999999998,-0.529,0.371,-0.647,-3.038,-0.806,,,,,,
DG30,"Calcavecchia, Mark",R2010002,Bob Hope Classic,2010,CUT,-1,287.0,,4,71.0,77.0,68.0,71.0,-1.35325,-0.225,0.465,-1.233,-0.2,-0.994,,,,,,
12510,"Campbell, Chad",R2010002,Bob Hope Classic,2010,CUT,-6,282.0,,4,79.0,70.0,64.0,69.0,-0.10324999999999998,0.581,-1.923,1.325,0.822,-0.017,,,,,,
20472,"Cejka, Alex",R2010002,Bob Hope Classic,2010,CUT,-2,286.0,,4,70.0,74.0,70.0,72.0,-2.2915,0.15,2.507,-0.343,-2.782,2.314,,,,,,
20593,"Chalmers, Greg",R2010002,Bob Hope Classic,2010,T57,-12,276.0,,4,70.0,69.0,68.0,69.0,0.20850000000000002,-0.464,0.392,0.17,-0.566,0.098,,,,,,
20850,"Chopra, Daniel",R2010002,Bob Hope Classic,2010,CUT,-1,287.0,,4,73.0,71.0,73.0,70.0,-2.29675,0.312,-4.509,-0.45,0.803,-4.648,,,,,,
23135,"Clark, Tim",R2010002,Bob Hope Classic,2010,T2,-22,266.0,,4,70.0,63.0,67.0,66.0,2.883,0.201,2.271,-0.414,4.129,2.059,,,,,,
