player_name,n_rounds,mean_sg,round_sd
A.J. Ewart,30,0.474,2.2222
Aaron Baddeley,511,-0.0694,2.5548
Aaron Cockerill,20,-0.5166,2.1306
Aaron Rai,342,0.7099,2.5907
Aaron Wise,398,0.3984,2.7054
Abraham Ancer,364,0.4145,2.7469
Adam Hadwin,745,0.3802,2.8161
Adam Long,410,-0.0577,2.79
Adam Schenk,659,-0.0101,2.7715
Adam Scott,544,0.9733,2.6703
Adam Svensson,454,0.178,2.8175
Adrian Meronk,28,-0.5569,2.8709
Adrien Dumont de Chassart,90,-0.8734,2.6217
Adrien Saddier,34,-0.1331,2.7292
Akshay Bhatia,285,0.4406,2.8115
Aldrich Potgieter,82,-0.4049,3.262
Alejandro Tosti,136,-0.608,3.4294
Alex Cejka,241,-0.1072,2.7328
Alex Noren,482,0.6324,2.6007
Alex Prugh,92,-0.1707,2.4544
Alex Smalley,363,0.2954,2.7714
Alexander Björk,50,-0.6694,2.8388
Alvaro Ortiz,28,-0.709,3.0201
Anders Albertson,130,-0.8349,2.4971
Andres Gonzales,131,-0.3258,2.9472
Andres Romero,82,-0.29,2.958
Andrew Johnston,38,-0.9397,2.9676
Andrew Landry,397,-0.6392,3.1059
Andrew Loupe,132,-1.1403,3.8882
Andrew Novak,342,0.2014,2.8876
Andrew Putnam,578,0.3666,2.5438
Andrew Yun,34,-2.3678,3.0033
Andy Ogletree,24,-1.2823,3.0633
Andy Sullivan,50,-0.0531,2.6619
Anirban Lahiri,365,-0.0774,2.8641
Antoine Rozner,77,0.0712,2.7636
Arjun Atwal,81,-1.1242,2.7631
Augusto Núñez,65,-0.6336,2.7725
Austin Cook,421,-0.3905,2.8875
Austin Eckroat,288,0.1621,2.5556
Austin Smotherman,220,-0.0069,2.8155
Beau Hossler,653,0.2176,2.9931
Ben Crane,264,-0.4031,2.7268
Ben Griffin,333,0.8931,2.4844
Ben Kohles,202,-0.1671,2.766
Ben Martin,467,-0.0182,2.6381
Ben Silverman,300,0.0338,2.7206
Ben Taylor,219,-0.4616,2.8447
Bernd Wiesberger,92,0.1625,2.6311
Bernhard Langer,34,-0.6062,2.5731
Bill Haas,449,-0.0302,2.5665
Billy Horschel,637,0.4877,2.7281
Billy Hurley III,198,-0.2065,2.3968
Blades Brown,31,0.38,3.2517
