player_name,_key,augusta_starts,augusta_under_par_finishes,augusta_avg_to_par,augusta_cuts_made,augusta_top30s,made_cut_2025,top6_major_last2y,career_wins_db,sg_t2g_last4_total,sg_t2g_events,driving_dist_field_rank,win_prob,crit_prior_masters_start,crit_prior_top30_masters,crit_made_cut_2025,crit_top6_major_last2y,crit_augusta_under_par_avg,crit_sg_t2g_18plus,crit_driving_top50,crit_career_wins_3plus,is_defending_champion,is_betting_favorite,qualifier_score,qualifier_max,qualifiers_passed,qualifiers_failed
"McIlroy, Rory",rory mcilroy,13,7.0,-3.1538461538461537,12,3,1,1,15,23.375,4,19,0.0571267379534895,1,1,1,1,1,1,1,1,1,0,8,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50 | 3+ career wins,
"Åberg, Ludvig",ludvig åberg,2,2.0,-6.5,2,2,1,1,2,19.991,4,23,0.0201114710191192,1,1,1,1,1,1,1,0,0,0,7,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50,3+ career wins
"Matsuyama, Hideki",hideki matsuyama,12,7.0,-0.4166666666666667,11,2,1,1,6,2.334,4,33,0.0052637551571552,1,1,1,1,1,0,1,1,0,0,7,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | Driving dist top 50 | 3+ career wins,SG T2G 18+ last 4 starts
"Rose, Justin",justin rose,13,7.0,-2.1538461538461537,10,2,1,1,5,17.311,4,44,0.0093327291229426,1,1,1,1,1,0,1,1,0,0,7,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | Driving dist top 50 | 3+ career wins,SG T2G 18+ last 4 starts
"Schauffele, Xander",xander schauffele,7,5.0,-2.0,6,1,1,0,4,19.293,4,16,0.0406540186316023,1,1,1,0,1,1,1,1,0,0,7,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50 | 3+ career wins,Top-6 major 2024-25
"Scheffler, Scottie",scottie scheffler,5,5.0,-7.8,5,3,1,1,18,8.291,4,48,0.0738161165792964,1,1,1,1,1,0,1,1,0,1,7,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | Driving dist top 50 | 3+ career wins,SG T2G 18+ last 4 starts
"Day, Jason",jason day,12,5.0,-0.25,10,1,1,0,5,1.965,4,18,0.0061359884199169,1,1,1,0,1,0,1,1,0,0,6,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Under-par Augusta avg | Driving dist top 50 | 3+ career wins,Top-6 major 2024-25 | SG T2G 18+ last 4 starts
"Reed, Patrick",patrick reed,11,6.0,-0.7272727272727273,9,2,1,1,4,3.947,1,78,0.0227654554324195,1,1,1,1,1,0,0,1,0,0,6,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | 3+ career wins,SG T2G 18+ last 4 starts | Driving dist top 50
"Morikawa, Collin",collin morikawa,5,4.0,-3.0,5,1,1,0,2,19.886,4,27,0.0218720161508183,1,1,1,0,1,1,1,0,0,0,6,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50,Top-6 major 2024-25 | 3+ career wins
"Spieth, Jordan",jordan spieth,11,8.0,-3.4545454545454546,9,2,1,0,7,15.287,4,24,0.0050053468208005,1,1,1,0,1,0,1,1,0,0,6,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Under-par Augusta avg | Driving dist top 50 | 3+ career wins,Top-6 major 2024-25 | SG T2G 18+ last 4 starts
"Rahm, Jon",jon rahm,8,5.0,-3.75,8,2,1,0,9,9.379,2,78,0.0472964230045135,1,1,1,0,1,0,0,1,0,0,5,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Under-par Augusta avg | 3+ career wins,Top-6 major 2024-25 | SG T2G 18+ last 4 starts | Driving dist top 50
"Spaun, J.J.",j.j. spaun,2,0.0,5.0,2,0,1,1,4,16.397,4,47,0.0133192972379588,1,0,1,1,0,0,1,1,0,0,5,8,Prior Masters start | Made cut 2025 | Top-6 major 2024-25 | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Under-par Augusta avg | SG T2G 18+ last 4 starts
"Hovland, Viktor",viktor hovland,5,3.0,0.2,4,0,1,1,4,11.774,4,43,0.0039358937183703,1,0,1,1,0,0,1,1,0,0,5,8,Prior Masters start | Made cut 2025 | Top-6 major 2024-25 | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Under-par Augusta avg | SG T2G 18+ last 4 starts
"Thomas, Justin",justin thomas,9,4.0,0.0,7,1,1,0,9,16.03,4,29,0.0073833449574252,1,1,1,0,0,0,1,1,0,0,5,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | Driving dist top 50 | 3+ career wins,Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts
"Koepka, Brooks",brooks koepka,9,4.0,-0.6666666666666666,7,0,0,0,6,19.37,4,21,0.0162482226158,1,0,0,0,1,1,1,1,0,0,5,8,Prior Masters start | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25
"DeChambeau, Bryson",bryson dechambeau,8,4.0,1.125,6,0,1,1,8,2.031,1,78,0.0314206621645445,1,0,1,1,0,0,0,1,0,0,4,8,Prior Masters start | Made cut 2025 | Top-6 major 2024-25 | 3+ career wins,Top-30 at Masters | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50
"Riley, Davis",davis riley,1,1.0,-2.0,1,0,1,0,1,-6.293,4,50,0.0031373710825435,1,0,1,0,1,0,1,0,0,0,4,8,Prior Masters start | Made cut 2025 | Under-par Augusta avg | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | SG T2G 18+ last 4 starts | 3+ career wins
"Burns, Sam",sam burns,4,0.0,5.0,2,0,1,0,4,1.561,4,5,0.006642689476997,1,0,1,0,0,0,1,1,0,0,4,8,Prior Masters start | Made cut 2025 | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts
"Watson, Bubba",bubba watson,13,5.0,1.3076923076923077,10,2,1,0,5,,0,78,0.0046595614739436,1,1,1,0,0,0,0,1,0,0,4,8,Prior Masters start | Top-30 at Masters | Made cut 2025 | 3+ career wins,Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50
"Im, Sungjae",sungjae im,5,4.0,-3.6,4,0,1,0,2,-3.161,4,35,0.0050216547942297,1,0,1,0,1,0,1,0,0,0,4,8,Prior Masters start | Made cut 2025 | Under-par Augusta avg | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | SG T2G 18+ last 4 starts | 3+ career wins
"Scott, Adam",adam scott,13,5.0,1.4615384615384615,12,1,0,0,3,17.813,4,12,0.0139337110132909,1,1,0,0,0,0,1,1,0,0,4,8,Prior Masters start | Top-30 at Masters | Driving dist top 50 | 3+ career wins,Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts
"Taylor, Nick",nick taylor,3,1.0,4.666666666666667,2,0,1,0,4,19.28,4,58,0.0045380582426567,1,0,1,0,0,1,0,1,0,0,4,8,Prior Masters start | Made cut 2025 | SG T2G 18+ last 4 starts | 3+ career wins,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | Driving dist top 50
"Johnson, Dustin",dustin johnson,11,6.0,-1.6363636363636365,8,1,0,0,9,,0,78,0.0043618161144773,1,1,0,0,1,0,0,1,0,0,4,8,Prior Masters start | Top-30 at Masters | Under-par Augusta avg | 3+ career wins,Made cut 2025 | Top-6 major 2024-25 | SG T2G 18+ last 4 starts | Driving dist top 50
"Clark, Wyndham",wyndham clark,2,0.0,6.0,1,0,1,0,3,13.175,4,17,0.0042539417044026,1,0,1,0,0,0,1,1,0,0,4,8,Prior Masters start | Made cut 2025 | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts
"Fleetwood, Tommy",tommy fleetwood,8,5.0,-0.625,7,0,1,0,1,15.878,4,40,0.0217487724178585,1,0,1,0,1,0,1,0,0,0,4,8,Prior Masters start | Made cut 2025 | Under-par Augusta avg | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | SG T2G 18+ last 4 starts | 3+ career wins
"Fitzpatrick, Matt",matt fitzpatrick,10,2.0,1.3,9,0,1,0,3,16.877,4,26,0.0272797769625957,1,0,1,0,0,0,1,1,0,0,4,8,Prior Masters start | Made cut 2025 | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts
"English, Harris",harris english,5,1.0,4.6,4,0,1,0,3,-2.16,4,45,0.0053474181842105,1,0,1,0,0,0,1,1,0,0,4,8,Prior Masters start | Made cut 2025 | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts
"Berger, Daniel",daniel berger,5,1.0,3.6,5,0,1,0,2,12.678,4,39,0.0105395147477616,1,0,1,0,0,0,1,0,0,0,3,8,Prior Masters start | Made cut 2025 | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | 3+ career wins
"Kim, Si Woo",si woo kim,7,3.0,2.4285714285714284,6,0,0,0,4,7.891,4,48,0.0175350758880639,1,0,0,0,0,0,1,1,0,0,3,8,Prior Masters start | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts
"McCarty, Matt",matt mccarty,1,1.0,-3.0,1,0,1,0,1,-2.023,4,60,0.0037522524332511,1,0,1,0,1,0,0,0,0,0,3,8,Prior Masters start | Made cut 2025 | Under-par Augusta avg,Top-30 at Masters | Top-6 major 2024-25 | SG T2G 18+ last 4 starts | Driving dist top 50 | 3+ career wins
"Homa, Max",max homa,5,2.0,2.6,4,0,1,0,6,-0.243,4,57,0.0047243516714164,1,0,1,0,0,0,0,1,0,0,3,8,Prior Masters start | Made cut 2025 | 3+ career wins,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50
"Lee, Min Woo",min woo lee,4,0.0,4.5,3,0,1,0,1,8.587,4,8,0.0092473611662452,1,0,1,0,0,0,1,0,0,0,3,8,Prior Masters start | Made cut 2025 | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | 3+ career wins
"Kim, Michael",michael kim,2,1.0,4.5,1,0,1,0,1,13.064,4,31,0.0024189195509858,1,0,1,0,0,0,1,0,0,0,3,8,Prior Masters start | Made cut 2025 | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | 3+ career wins
"Schwartzel, Charl",charl schwartzel,13,2.0,3.6153846153846154,8,1,1,0,1,,0,78,0.0048272955097376,1,1,1,0,0,0,0,0,0,0,3,8,Prior Masters start | Top-30 at Masters | Made cut 2025,Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50 | 3+ career wins
"Rai, Aaron",aaron rai,1,1.0,-1.0,1,0,1,0,1,3.992,4,64,0.0039832770675728,1,0,1,0,1,0,0,0,0,0,3,8,Prior Masters start | Made cut 2025 | Under-par Augusta avg,Top-30 at Masters | Top-6 major 2024-25 | SG T2G 18+ last 4 starts | Driving dist top 50 | 3+ career wins
"Højgaard, Rasmus",rasmus højgaard,1,0.0,1.0,1,0,1,0,0,0.223,4,14,0.0093930645679205,1,0,1,0,0,0,1,0,0,0,3,8,Prior Masters start | Made cut 2025 | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | 3+ career wins
"Lowry, Shane",shane lowry,9,3.0,3.111111111111111,6,0,1,0,0,11.15,4,30,0.0156372286950739,1,0,1,0,0,0,1,0,0,0,3,8,Prior Masters start | Made cut 2025 | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | 3+ career wins
"Greyserman, Max",max greyserman,1,0.0,1.0,1,0,1,0,0,1.439,4,41,0.0035952062019548,1,0,1,0,0,0,1,0,0,0,3,8,Prior Masters start | Made cut 2025 | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | 3+ career wins
"Smith, Cameron",cameron smith,8,4.0,-0.625,7,0,0,0,3,,0,78,0.0046597866419154,1,0,0,0,1,0,0,1,0,0,3,8,Prior Masters start | Under-par Augusta avg | 3+ career wins,Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | SG T2G 18+ last 4 starts | Driving dist top 50
"Garcia, Sergio",sergio garcia,12,4.0,2.8333333333333335,6,1,0,0,3,-2.415,1,78,0.0032824952290374,1,1,0,0,0,0,0,1,0,0,3,8,Prior Masters start | Top-30 at Masters | 3+ career wins,Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50
"Conners, Corey",corey conners,7,3.0,0.42857142857142855,5,0,1,0,2,12.642,4,32,0.0107685042766383,1,0,1,0,0,0,1,0,0,0,3,8,Prior Masters start | Made cut 2025 | Driving dist top 50,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | 3+ career wins
"Cantlay, Patrick",patrick cantlay,8,3.0,0.875,7,0,1,0,7,7.591,4,51,0.0090025595225395,1,0,1,0,0,0,0,1,0,0,3,8,Prior Masters start | Made cut 2025 | 3+ career wins,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50
"Willett, Danny",danny willett,10,2.0,3.0,6,1,1,0,1,-1.485,4,66,0.0041951662064237,1,1,1,0,0,0,0,0,0,0,3,8,Prior Masters start | Top-30 at Masters | Made cut 2025,Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts | Driving dist top 50 | 3+ career wins
"Woodland, Gary",gary woodland,10,2.0,5.6,3,0,0,0,3,5.561,4,7,0.0038640486457705,1,0,0,0,0,0,1,1,0,0,3,8,Prior Masters start | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts
"Bradley, Keegan",keegan bradley,9,3.0,4.0,7,0,0,0,4,-2.564,4,24,0.0054284695563458,1,0,0,0,0,0,1,1,0,0,3,8,Prior Masters start | Driving dist top 50 | 3+ career wins,Top-30 at Masters | Made cut 2025 | Top-6 major 2024-25 | Under-par Augusta avg | SG T2G 18+ last 4 starts
"Bhatia, Akshay",akshay bhatia,2,0.0,5.0,2,0,1,0,2,18.908,4,55,0.0137127829079297,1,0,1,0,0,1,0,0,0,0,3,8,Prior Masters start | Made cut 2025 | SG T2G 18+ last 4 starts,Top-30 at Masters | Top-6 major 2024-25 | Under-par Augusta avg | Driving dist top 50 | 3+ career wins
