start_date,end_date,tournament_name,tour,location,course,purse,purse_source,tournament_id
2025-11-27,2025-11-30,BMW Australian PGA Championship,euro,"Brisbane, Australia",Royal Queensland GC,3000000,estimate,E2026100
2025-12-04,2025-12-07,Nedbank Golf Challenge in honour of Gary Player,euro,"Sun City, South Africa",Gary Player CC,3000000,estimate,E2026102
2025-12-04,2025-12-07,Crown Australian Open,euro,"Black Rock, Australia",Royal Melbourne GC,3000000,estimate,E2026101
2025-12-11,2025-12-14,Alfred Dunhill Championship,euro,"Johannesburg, South Africa",Royal Johannesburg East Course;Royal Johannesburg East Course (Par 70),3000000,estimate,E2026103
2025-12-18,2025-12-21,AfrAsia Bank Mauritius Open,euro,"Bel Ombre, Mauritius",La Reserve GC,3000000,estimate,E2026104
2026-01-15,2026-01-18,Dubai Invitational,euro,"Dubai, UAE",Dubai Creek Resort,3000000,estimate,E2026105
2026-01-22,2026-01-25,Hero Dubai Desert Classic,euro,"Dubai, UAE",Emirates GC,3000000,estimate,E2026106
2026-01-29,2026-02-01,Bapco Energies Bahrain Championship,euro,"Al Mazrowiah, Bahrain",Royal Golf Club,3000000,estimate,E2026107
2026-02-05,2026-02-08,Qatar Masters,euro,"Doha, Qatar",Doha GC,3000000,estimate,E2026145
2026-02-19,2026-02-22,Magical Kenya Open,euro,"Nairobi, Kenya",Karen CC,3000000,estimate,E2026109
2026-02-26,2026-03-01,Investec South African Open Championship,euro,"Stellenbosch, South Africa",Stellenbosch GC,3000000,estimate,E2026110
2026-03-05,2026-03-08,Joburg Open,euro,"Johannesburg, South Africa",Houghton GC,3000000,estimate,E2026111
2026-03-19,2026-03-22,Hainan Classic,euro,"Hainan Island, China",Blackstone Course Mission Hills;Vintage Course Mission Hills,3000000,estimate,E2026112
2026-03-26,2026-03-29,Hero Indian Open,euro,"Gurgaon, India",Dlf G&Cc Player Course,3000000,estimate,E2026113
2026-04-23,2026-04-26,Volvo China Open,euro,"Jiading District, China",Enhance Anting GC,3000000,estimate,E2026115
2026-04-30,2026-05-03,Turkish Airlines Open,euro,"Antalya, Turkey",National GC,3000000,estimate,E2026116
2026-05-07,2026-05-10,Estrella Damm Catalunya Championship,euro,"Terrassa, Spain",Real Club De Golf El Prat Rosa Course,3000000,estimate,E2026117
2026-05-21,2026-05-24,Soudal Open,euro,"Schilde, Belgium",Rinkven International GC,3000000,estimate,E2026119
2026-05-28,2026-05-31,Austrian Alpine Open,euro,"Kitzbuhel, Austria",Kitzbuhel-Schwarzsee GC,3000000,estimate,E2026120
2026-06-04,2026-06-07,KLM Open,euro,"Badhoevedorp, Netherlands",International,3000000,estimate,E2026121
2026-06-25,2026-06-28,DS Automobiles 83deg Open d'Italia,euro,"Fiano, Italy",Circolo Golf Torino,3000000,estimate,E2026123
2026-07-02,2026-07-05,BMW International Open,euro,"Munich, Germany",Golfclub Munchen Eichenried,3000000,estimate,E2026124
2026-08-13,2026-08-16,Danish Golf Championship,euro,"Kerteminde, Denmark",Great Northern,3000000,estimate,E2026131
2026-08-20,2026-08-23,Nexo Championship,euro,"Aberdeen, United Kingdom",Trump International Golf Links,3000000,estimate,E2026132
2026-08-27,2026-08-30,Husqvarna British Masters hosted by Sir Nick Faldo,euro,"Sutton Coldfield, England",Brabazon Course At The Belfry,3000000,estimate,E2026133
2026-09-03,2026-09-06,Omega European Masters,euro,"Crans-Montana, Switzerland",Crans-Sur-Sierre GC,3000000,estimate,E2026134
2026-09-10,2026-09-13,Amgen Irish Open,euro,"Doonbeg, Ireland",Trump International Golf Links & Hotel Ireland,3000000,estimate,E2026135
2026-09-17,2026-09-20,BMW PGA Championship,euro,"Virgina Water, Surrey, England",Wentworth Club,9000000,estimate,E2026136
2026-09-24,2026-09-27,FedEx Open de France,euro,"Guyancourt, France",Le Golf National,3000000,estimate,E2026137
