,tournament_id,year,tournament_name
0,R2025493,2025,The RSM Classic
365,R2025554,2025,Bank of Utah Championship
700,R2025054,2025,Sanderson Farms Championship
1035,R2025464,2025,Procore Championship
1395,R2025060,2025,TOUR Championship
1545,R2025028,2025,BMW Championship
1785,R2025027,2025,FedEx St. Jude Championship
2130,R2025013,2025,Wyndham Championship
2505,R2025525,2025,3M Open
2885,R2025541,2025,Genesis Scottish Open
3280,R2025518,2025,ISCO Championship
3620,R2025030,2025,John Deere Classic
3940,R2025524,2025,Rocket Classic
4370,R2025034,2025,Travelers Championship
4705,R2025026,2025,U.S. Open
5035,R2025032,2025,RBC Canadian Open
5375,R2025023,2025,the Memorial Tournament presented by Workday
5660,R2025021,2025,Charles Schwab Challenge
6050,R2025033,2025,PGA Championship
6420,R2025480,2025,Truist Championship
6765,R2025553,2025,ONEflight Myrtle Beach Classic
7110,R2025019,2025,THE CJ CUP Byron Nelson
7460,R2025012,2025,RBC Heritage
7820,R2025041,2025,Valero Texas Open
8150,R2025020,2025,Texas Children's Houston Open
8495,R2025475,2025,Valspar Championship
8885,R2025011,2025,THE PLAYERS Championship
9245,R2025009,2025,Arnold Palmer Invitational presented by Mastercard
9500,R2025010,2025,Cognizant Classic in The Palm Beaches
9840,R2025540,2025,Mexico Open at VidantaWorld
10225,R2025007,2025,The Genesis Invitational
10495,R2025003,2025,WM Phoenix Open
10880,R2025005,2025,AT&T Pebble Beach Pro-Am
11270,R2025004,2025,Farmers Insurance Open
11620,R2025002,2025,The American Express
11975,R2025006,2025,Sony Open in Hawaii
12355,R2025016,2025,The Sentry
96321,R2025528,2025,Butterfield Bermuda Championship
96531,R2025457,2025,World Wide Technology Championship
96957,R2025527,2025,Baycurrent Classic
98502,R2025100,2025,The Open Championship
101457,R2025522,2025,Corales Puntacana Championship
101883,R2025014,2025,Masters Tournament
103050,R2025483,2025,Puerto Rico Open
