tournament_id,wind_mph_avg,wind_mph_max,precip_mm,temp_f_avg
R2016002,3.68,7.4,0.0,62.6
R2016003,7.73,15.7,0.0,69.5
R2016004,7.89,18.1,0.9,54.0
R2016005,6.55,15.1,17.5,61.3
R2016006,7.8,14.6,0.1,75.7
R2016007,5.54,9.1,0.0,72.0
R2016009,10.36,15.0,0.0,72.5
R2016010,5.01,8.8,0.0,72.7
R2016011,8.71,14.5,1.5,74.2
R2016012,7.12,10.0,0.0,69.6
R2016013,4.29,6.7,11.1,81.6
R2016014,8.75,13.5,9.0,64.8
R2016018,7.59,13.6,8.4,77.5
R2016019,12.94,16.7,24.0,78.8
R2016020,8.35,17.1,8.6,71.6
R2016021,5.11,9.5,86.9,75.1
R2016023,10.32,16.5,0.4,66.8
R2016027,4.24,9.4,34.8,78.6
R2016028,7.25,14.0,12.0,79.4
R2016030,6.38,13.8,31.8,77.0
R2016032,6.75,13.6,5.7,66.3
R2016033,5.94,14.8,2.1,57.3
R2016034,6.41,11.4,13.8,76.7
R2016041,7.93,11.5,0.2,71.3
R2016060,5.85,9.6,6.0,83.6
R2016475,11.67,24.8,3.5,64.1
R2016480,5.13,9.6,3.0,78.5
R2016493,6.83,10.5,0.0,63.3
R2016518,5.75,9.2,16.6,80.7
R2017002,5.97,14.5,0.0,54.2
R2017003,4.69,8.7,0.0,68.6
R2017004,4.37,7.2,0.0,59.9
R2017005,9.88,29.9,34.0,57.3
R2017006,11.27,17.6,1.2,77.6
R2017007,6.39,13.8,0.0,55.5
R2017009,6.43,12.6,0.1,74.2
R2017010,10.96,19.7,10.6,76.6
R2017011,9.93,16.5,6.6,51.4
R2017012,8.21,16.8,1.9,77.6
R2017013,4.73,7.6,16.5,76.4
R2017014,3.39,5.9,0.0,74.9
R2017019,14.04,22.6,8.5,75.3
R2017020,9.97,20.1,9.4,72.3
R2017021,5.47,12.5,25.3,78.8
R2017023,9.43,13.9,2.4,65.8
R2017026,10.57,19.4,17.9,77.2
R2017027,7.15,14.8,26.9,82.0
R2017028,5.52,11.9,17.2,75.1
R2017030,6.53,13.2,6.2,82.0
R2017032,6.6,9.6,4.2,71.7
R2017033,6.51,10.9,2.2,78.5
R2017034,8.47,13.4,12.0,71.2
R2017041,8.57,16.4,0.0,68.9
R2017060,9.14,18.4,61.6,72.9
R2017475,10.11,18.8,1.7,72.1
R2017480,7.15,12.3,1.7,75.3
R2017493,13.81,24.0,27.0,63.8
R2017518,7.01,11.5,9.6,83.0
R2018002,5.45,8.9,0.0,65.7
R2018003,7.03,17.2,0.0,70.4
R2018004,4.13,8.6,0.0,66.9
R2018005,7.07,12.4,0.0,55.1
R2018006,18.68,24.2,4.5,76.0
R2018007,7.87,14.6,0.0,53.8
R2018009,9.62,14.8,16.6,62.9
R2018010,10.4,16.6,2.3,74.6
R2018011,6.33,11.4,0.0,60.4
R2018012,14.49,20.5,0.1,69.7
R2018013,4.82,8.9,19.8,82.1
R2018014,8.32,14.8,0.3,70.1
R2018019,5.54,12.5,5.6,84.1
R2018020,8.14,13.6,94.8,70.3
R2018021,12.19,16.9,0.0,91.8
R2018023,5.18,9.2,14.8,71.0
R2018026,7.8,13.1,12.4,69.8
R2018027,8.21,12.0,18.1,82.9
R2018028,7.9,12.2,31.9,76.0
R2018030,6.66,12.0,3.3,80.1
R2018032,8.5,17.4,11.5,70.4
R2018033,7.18,12.9,72.3,59.7
R2018034,7.98,12.6,27.9,77.5
R2018041,12.4,17.5,17.9,65.7
R2018060,3.51,6.7,13.7,78.6
R2018475,11.93,20.7,0.0,63.1
R2018480,6.31,16.5,2.2,80.7
R2018493,14.54,24.6,21.1,62.0
R2018518,3.65,7.7,0.2,83.7
R2019002,6.08,15.0,0.0,69.6
R2019003,5.76,10.0,0.0,52.1
R2019004,10.97,28.7,40.0,58.7
R2019005,15.59,23.5,69.6,50.3
R2019006,10.45,15.2,7.3,76.9
R2019007,5.64,12.2,0.3,52.7
R2019009,6.29,12.5,0.3,70.2
R2019010,5.92,10.0,4.9,75.6
R2019011,10.12,13.9,4.9,66.7
R2019012,16.17,28.6,14.0,69.6
R2019013,5.29,8.6,1.5,83.4
R2019014,8.41,16.6,19.4,74.5
R2019019,15.42,21.1,5.3,80.3
R2019021,5.45,9.2,8.9,78.1
R2019023,10.3,16.8,8.7,72.6
R2019026,10.97,15.0,28.6,71.5
R2019027,4.43,8.7,0.1,87.1
R2019028,6.67,10.6,55.9,73.9
R2019030,6.28,11.0,4.9,82.1
R2019032,10.85,17.6,22.5,61.6
R2019033,6.47,11.0,1.5,71.3
R2019034,5.85,11.9,4.4,79.2
R2019041,7.65,15.7,39.0,72.8
R2019060,6.04,9.9,0.1,79.7
R2019475,8.57,12.7,0.0,68.1
R2019480,9.27,18.4,20.1,73.2
R2019493,10.14,15.0,0.7,61.8
R2019518,5.02,8.9,5.2,82.4
R2019524,4.52,7.0,7.9,76.6
R2019525,9.27,16.1,21.5,77.0
R2020002,5.04,9.1,0.0,70.7
