player_id,player_name,rank,stat_id,stat_name,stat_component,stat_value,tournament_id,tournament_name,year
39546,Keith Mitchell,1,02567,Strokes Gained: Total,Avg,1.739,R2026002,The American Express,2026
39546,Keith Mitchell,1,02567,Strokes Gained: Total,Total SG:OTT,3.477,R2026002,The American Express,2026
39546,Keith Mitchell,1,02567,Strokes Gained: Total,Measured Rounds,2,R2026002,The American Express,2026
35296,Haotong Li,2,02567,Strokes Gained: Total,Avg,1.672,R2026002,The American Express,2026
35296,Haotong Li,2,02567,Strokes Gained: Total,Total SG:OTT,3.344,R2026002,The American Express,2026
35296,Haotong Li,2,02567,Strokes Gained: Total,Measured Rounds,2,R2026002,The American Express,2026
46046,Scottie Scheffler,3,02567,Strokes Gained: Total,Avg,1.452,R2026002,The American Express,2026
46046,Scottie Scheffler,3,02567,Strokes Gained: Total,Total SG:OTT,2.903,R2026002,The American Express,2026
46046,Scottie Scheffler,3,02567,Strokes Gained: Total,Measured Rounds,2,R2026002,The American Express,2026
49947,Taylor Moore,4,02567,Strokes Gained: Total,Avg,1.448,R2026002,The American Express,2026
49947,Taylor Moore,4,02567,Strokes Gained: Total,Total SG:OTT,2.896,R2026002,The American Express,2026
49947,Taylor Moore,4,02567,Strokes Gained: Total,Measured Rounds,2,R2026002,The American Express,2026
52686,Rasmus Højgaard,5,02567,Strokes Gained: Total,Avg,1.314,R2026002,The American Express,2026
52686,Rasmus Højgaard,5,02567,Strokes Gained: Total,Total SG:OTT,2.628,R2026002,The American Express,2026
52686,Rasmus Højgaard,5,02567,Strokes Gained: Total,Measured Rounds,2,R2026002,The American Express,2026
34099,Harris English,6,02567,Strokes Gained: Total,Avg,1.082,R2026002,The American Express,2026
34099,Harris English,6,02567,Strokes Gained: Total,Total SG:OTT,2.164,R2026002,The American Express,2026
34099,Harris English,6,02567,Strokes Gained: Total,Measured Rounds,2,R2026002,The American Express,2026
46340,Alex Smalley,7,02567,Strokes Gained: Total,Avg,1.025,R2026002,The American Express,2026
46340,Alex Smalley,7,02567,Strokes Gained: Total,Total SG:OTT,2.050,R2026002,The American Express,2026
46340,Alex Smalley,7,02567,Strokes Gained: Total,Measured Rounds,2,R2026002,The American Express,2026
55893,Sam Stevens,8,02567,Strokes Gained: Total,Avg,0.985,R2026002,The American Express,2026
