player_name,sim_win_pct,sim_top5_pct,sim_top10_pct,sim_top20_pct,sim_median_finish,sim_p10_finish,sim_p90_finish,sim_finish_std,model_win_prob,model_top10_prob,model_top20_prob
"Scheffler, Scottie",0.1458,0.3583,0.5015,0.8387,10,1,22,7.7,0.1379,0.517,0.8372
"Morikawa, Collin",0.0721,0.2396,0.4334,0.8323,13,2,22,7.1,0.0711,0.4457,0.8345
"Young, Cameron",0.0716,0.3462,0.4892,0.8426,12,2,22,7.5,0.0683,0.5118,0.837
"Gotterup, Chris",0.068,0.2478,0.4365,0.8296,13,2,22,7.2,0.0671,0.446,0.8345
"Kim, Si Woo",0.0664,0.2256,0.4339,0.8341,13,3,22,7.1,0.0696,0.4402,0.8342
"Henley, Russell",0.0649,0.2174,0.4202,0.8364,13,3,22,7.0,0.066,0.4212,0.8335
"Clark, Wyndham",0.062,0.2153,0.4232,0.8402,13,3,22,7.0,0.0642,0.4206,0.8335
"Cantlay, Patrick",0.0605,0.2117,0.4251,0.838,13,3,22,6.9,0.0606,0.4175,0.8334
"Bridgeman, Jacob",0.047,0.2103,0.4173,0.8366,13,3,22,6.9,0.0451,0.4139,0.8332
"Burns, Sam",0.0434,0.2058,0.4072,0.8257,13,3,22,6.9,0.0437,0.4154,0.8333
"Scott, Adam",0.0418,0.1928,0.4045,0.8279,13,3,22,6.9,0.0446,0.4093,0.8331
"Schauffele, Xander",0.041,0.2201,0.4321,0.8333,12,3,22,7.0,0.0417,0.4198,0.8335
"Koivun, Jackson",0.0405,0.1827,0.4112,0.8397,12,3,22,6.7,0.0379,0.3952,0.8325
"Kim, Tom",0.0383,0.1991,0.4148,0.8305,12,3,22,6.9,0.0415,0.4101,0.8331
"Lee, Min Woo",0.0324,0.2044,0.4094,0.8347,13,3,22,6.9,0.034,0.4141,0.8332
"Matsuyama, Hideki",0.0298,0.2062,0.4068,0.8323,13,3,22,6.9,0.0286,0.411,0.8331
"Fox, Ryan",0.0168,0.196,0.4068,0.8304,13,3,22,6.8,0.0157,0.4095,0.8331
"Hisatsune, Ryo",0.0113,0.158,0.3877,0.8306,13,4,22,6.6,0.0129,0.3858,0.8321
"Im, Sungjae",0.0103,0.1667,0.3919,0.836,13,4,22,6.6,0.01,0.3857,0.8321
"Conners, Corey",0.0089,0.1649,0.3958,0.831,12,4,22,6.6,0.0116,0.3858,0.8321
"Taylor, Nick",0.0085,0.162,0.3965,0.8316,12,4,22,6.6,0.0071,0.3797,0.8319
"Thomas, Justin",0.0075,0.1594,0.3807,0.826,13,4,22,6.6,0.01,0.3859,0.8322
"Bezuidenhout, Christiaan",0.0071,0.1503,0.3826,0.8298,13,4,22,6.6,0.007,0.3794,0.8319
"Echavarria, Nico",0.0041,0.1594,0.3917,0.832,12,4,22,6.6,0.0037,0.3794,0.8319
