player_name,similar_player,similarity_score,similar_rank,similar_win_prob,similar_world_rank
"Scheffler, Scottie","Koivun, Jackson",0.6196,1,0.03715,57
"Scheffler, Scottie","Gotterup, Chris",0.599,2,0.06667,7
"Scheffler, Scottie","Kim, Si Woo",0.5894,3,0.06569,14
"Scheffler, Scottie","Henley, Russell",0.563,4,0.06484,6
"Scheffler, Scottie","Morikawa, Collin",0.5235,5,0.06892,11
"Scheffler, Scottie","Young, Cameron",0.4408,6,0.07005,3
"Scheffler, Scottie","Clark, Wyndham",0.4132,7,0.05334,5
"Scheffler, Scottie","Schauffele, Xander",0.3902,8,0.06357,10
"Scheffler, Scottie","Cantlay, Patrick",0.3872,9,0.06109,28
"Scheffler, Scottie","Matsuyama, Hideki",0.2779,10,0.03866,27
"Burns, Sam","Bridgeman, Jacob",0.9908,1,0.04362,20
"Burns, Sam","Henley, Russell",0.79,2,0.06484,6
"Burns, Sam","Morikawa, Collin",0.4758,3,0.06892,11
"Burns, Sam","Bezuidenhout, Christiaan",0.4711,4,0.00709,104
"Burns, Sam","Echavarria, Nico",0.2942,5,0.00445,61
"Burns, Sam","Fox, Ryan",0.2543,6,0.01548,22
"Burns, Sam","Schauffele, Xander",0.1444,7,0.06357,10
"Burns, Sam","Taylor, Nick",0.1405,8,0.0064,85
"Burns, Sam","Im, Sungjae",0.0964,9,0.01509,60
"Burns, Sam","Clark, Wyndham",0.0742,10,0.05334,5
"Henley, Russell","Burns, Sam",0.79,1,0.0426,8
"Henley, Russell","Bridgeman, Jacob",0.7881,2,0.04362,20
"Henley, Russell","Morikawa, Collin",0.6864,3,0.06892,11
"Henley, Russell","Scheffler, Scottie",0.563,4,0.12789,1
"Henley, Russell","Gotterup, Chris",0.5276,5,0.06667,7
"Henley, Russell","Schauffele, Xander",0.4457,6,0.06357,10
"Henley, Russell","Koivun, Jackson",0.2693,7,0.03715,57
"Henley, Russell","Clark, Wyndham",0.1872,8,0.05334,5
"Henley, Russell","Bezuidenhout, Christiaan",0.1584,9,0.00709,104
"Henley, Russell","Im, Sungjae",-0.0427,10,0.01509,60
"Cantlay, Patrick","Kim, Si Woo",0.9413,1,0.06569,14
"Cantlay, Patrick","Young, Cameron",0.8325,2,0.07005,3
"Cantlay, Patrick","Kim, Tom",0.7232,3,0.04531,31
"Cantlay, Patrick","Koivun, Jackson",0.6901,4,0.03715,57
"Cantlay, Patrick","Hisatsune, Ryo",0.5254,5,0.01269,67
"Cantlay, Patrick","Scheffler, Scottie",0.3872,6,0.12789,1
"Cantlay, Patrick","Conners, Corey",0.3597,7,0.01135,55
"Cantlay, Patrick","Matsuyama, Hideki",0.3069,8,0.03866,27
"Cantlay, Patrick","Schauffele, Xander",0.2975,9,0.06357,10
"Cantlay, Patrick","Scott, Adam",0.2717,10,0.0446,45
"Schauffele, Xander","Gotterup, Chris",0.9277,1,0.06667,7
"Schauffele, Xander","Koivun, Jackson",0.8649,2,0.03715,57
"Schauffele, Xander","Morikawa, Collin",0.7229,3,0.06892,11
"Schauffele, Xander","Scott, Adam",0.6871,4,0.0446,45
"Schauffele, Xander","Young, Cameron",0.5744,5,0.07005,3
"Schauffele, Xander","Kim, Si Woo",0.5385,6,0.06569,14
"Schauffele, Xander","Hisatsune, Ryo",0.502,7,0.01269,67
"Schauffele, Xander","Henley, Russell",0.4457,8,0.06484,6
"Schauffele, Xander","Scheffler, Scottie",0.3902,9,0.12789,1
"Schauffele, Xander","Cantlay, Patrick",0.2975,10,0.06109,28
"Morikawa, Collin","Koivun, Jackson",0.7407,1,0.03715,57
"Morikawa, Collin","Schauffele, Xander",0.7229,2,0.06357,10
"Morikawa, Collin","Henley, Russell",0.6864,3,0.06484,6
