player_name,uses_used,uses_remaining,tournaments_used
Ben Griffin,1,2,Waste Management Phoenix Open
Chris Gotterup,1,2,Waste Management Phoenix Open
Hideki Matsuyama,1,2,The Genesis Invitational
Jason Day,1,2,AT&T Pebble Beach Pro-Am
Justin Rose,1,2,AT&T Pebble Beach Pro-Am
Maverick McNealy,1,2,AT&T Pebble Beach Pro-Am
Michael Thorbjornsen,2,1,Cognizant Classic | Cognizant Classic in The Palm Beaches
Nicolai Hojgaard,1,2,Cognizant Classic in The Palm Beaches
Nicolai Højgaard,1,2,Cognizant Classic
Patrick Cantlay,1,2,The Genesis Invitational
Pierceson Coody,1,2,Waste Management Phoenix Open
Ryan Gerard,2,1,Cognizant Classic | Cognizant Classic in The Palm Beaches
Viktor Hovland,1,2,The Genesis Invitational
