week,date,tournament,pick1,pick2,pick3,result1,result2,result3,points,league_rank,notes,rank1,rank2,rank3,avg_model_rank
1,2026-02-05,Waste Management Phoenix Open,Pier Coody,Gotterup,B Griffin,T10,1,T28,2033349,,,,,,
10,2026-04-09,The Masters,Aberg,DeChambeau,Schauffele,T21,CUT,T9,882000,,,,,,
11,2026-04-16,RBC Heritage,M Fitzpatrick,Fleetwood,Morikawa,1,T52,T4,4466833,,,,,,
12,2026-04-23,Zurich Classic of New Orleans,Brennan,A Fitzpatrick,Lowry,CUT,1,CUT,1372750,,,,,,
13,2026-04-30,Cadillac Championship,Fleetwood,SW Kim,Morikawa,T23,T4,T62,1035310,,,,,,
14,2026-05-07,Truist Championship,M Fitzpatrick,McIlroy,Schauffele,T52,T19,T60,329788,,,,,,
15,2026-05-14,PGA Championship,B Koepka,Rahm,Scheffler,T55,T2,T14,2202949,,,,,,
16,2026-05-21,The CJ Cup Byron Nelson,Hisatsune,SW Kim,Spieth,T19,2,T19,1323892,,,,,,
17,2026-05-28,Charles Schwab Challenge,Fowler,Henley,J Thomas,CUT,1,T13,1975875,,,,,,
18,2026-06-04,The Memorial Tournament,Burns,Cantlay,Matsuyama,T4,T17,T43,1309000,,,,,,
19,2026-06-11,RBC Canadian Open,W Clark,A Fitzpatrick,N Taylor,T11,T20,T65,336075,,,,,,
2,2026-02-12,AT&T Pebble Beach Pro-Am,J Day,McNealy,Rose,T24,T29,T37,365575,,,,,,
20,2026-06-18,U.S. Open,M Fitzpatrick,Rahm,Scheffler,22,CUT,T4,1151102,,,,,,
21,2026-06-25,Travelers Championship,Henley,Rai,Spieth,T12,T30,T66,594125,,,,,,
22,2026-07-02,John Deere Classic,Gotterup,B Griffin,Koivun,1,T21,CUT,1684056,,,,,,
23,2026-07-09,Genesis Scottish Open,W Clark,MacIntyre,Rahm,T13,T3,T36,635316,,,,,,
24,2026-07-16,The Open Championship,Fleetwood,Morikawa,Schauffele,T4,T18,T18,1156650,,,,,,
25,2026-07-23,3M Open,Homa,Tom Kim,Matsuyama,CUT,T20,T3,533390,,,,,,
26,2026-07-30,Rocket Classic,Jackson Koivun,Jake Knapp,Chris Gotterup,1,CUT,T38,22,,,,,,
27,2026-08-06,Wyndham Championship,,,,,,,,,,,,,
28,2026-08-13,FedEx St. Jude Invitational,,,,,,,,,,,,,
29,2026-08-20,BMW Championship,,,,,,,,,,,,,
3,2026-02-19,The Genesis Invitational,Cantlay,Hovland,Matsuyama,T37,T41,T28,306750,,,,,,
30,2026-08-27,TOUR Championship,,,,,,,,,,,,,
4,2026-02-26,Cognizant Classic,Gerard,N Hojgaard,Thorbjornsen,T23,T6,CUT,401600,,,,,,
5,2026-03-05,Arnold Palmer Invitational,Aberg,Henley,McIlroy,T3,T6,WD,1902000,,,,,,
6,2026-03-12,THE PLAYERS Championship,Scheffler,Scott,Cam Young,T22,T56,1,4829250,,,,,,
7,2026-03-19,Valspar Championship,Bridgeman,Theegala,J Thomas,T14,CUT,T30,212667,,,,,,
8,2026-03-26,Texas Children's Houston Open,Knapp,B Koepka,MW Lee,T6,CUT,T3,907088,,,,,,
9,2026-04-02,Valero Texas Open,Fowler,Spieth,Yellamaraju,CUT,T63,T14,180614,,,,,,
