player_name,tournament_id,predictive_sg_weighted,season_sg_arg_field_pct,season_sg_t2g,season_sg_arg,recent_sg_weighted,world_rank_log,season_sg_ott,season_sg_total,recent_sg_ott_weighted,season_sg_ott_field_pct,season_sg_app,season_sg_putt_field_pct,recent_sg_app_weighted,season_sg_putt,recent_sg_putt_weighted,season_sg_app_field_pct,recent_sg_trend,recent_cuts_pct,recent_top10s,field_avg_season_sg_arg,field_avg_predictive_sg_weighted,recent_scoring_avg,recent_r3_avg_field_pct,dg_win,hist_best_finish,field_median_rank,dg_top10,dg_make_cut,hist_avg_finish,recent_top5s,recent_r4_avg_field_pct,field_avg_season_sg_ott,recent_gir_pct,recent_sand_save,field_avg_rank,field_avg_season_sg_putt,recent_par4_scoring_field_pct,field_avg_season_sg_total,recent_par3_scoring_field_pct,form_trend,venue_finish_std,closing_delta_field_pct,recent_bogey_avg,hist_top5s,venue_avg_finish,recent_scrambling,field_avg_season_sg_app,recent_par5_scoring_field_pct,wind_mph_avg,recent_bounce_back,wind_mph_max,hist_cut_rate,recent_birdie_avg,temp_f_avg,precip_mm
"Fleetwood, Tommy",R2026032,0.0053467810743964865,0.005969137793525369,-0.0009814929017461212,0.007501813650447946,0.0023894925240714533,0.002692154329739902,0.0020723809335777776,0.005956470308311537,0.024369400822314393,0.04077586788418887,0.005939342791270155,0.007015550544164653,0.002623916937689515,-0.00095051102975755,0.0017166467464856691,0.0012722842483570867,0.00011040916600019814,-0.0012949498748262604,-0.0007607931756418749,-0.000918499313223711,-0.0016264421891256954,-0.0028594942642927133,-0.00036206044212031934,-0.0019122655764442001,-0.002104803989497817,0.0013048222651861733,-0.000740548401421813,-0.0004143967977412606,-0.0017970403966691736,-0.0029202800016000434,0.037827233435011605,0.020100428000243614,0.0019716983263617003,0.011541288277465906,0.01360493067678358,0.0062834068877109074,-0.0005442280102862658,-0.008256316895770737,-0.0030677526781623444,-0.014848852842485811,0.0006513259519728617,-0.006366517525931097,0.00654273363541838,-8.152037587725778e-06,-0.002686894750432435,-0.0005093565010704826,-0.0024980307089997955,-0.045672096969013455,0.011384068155274199,0.010764187124943021,0.006840128202953322,0.0010389440923854957,0.0005574059182629678,-0.0006465467039915707,-0.0008568957902744012
"Fitzpatrick, Matt",R2026032,0.0045819981272267754,0.007935589997287825,-0.0005891081896076503,0.007336705863935287,0.009293405580269129,0.002257900164838306,0.0019379410580647374,0.006047064282182619,0.025926676191094886,0.03856171219441527,0.005776895326856101,0.00787822366093221,-0.0006196376090767552,-0.0008787574319264396,0.0016994285213711164,0.0013217774707095854,0.0001052975989799828,-0.0013457960671842345,1.4224177012820056e-05,-0.001030754390174697,-0.0016665769476950241,-0.0028877850524165714,0.00027185845472144353,-0.002058421045738087,-0.002152308601701083,0.00146223605295041,-0.0003920853056080984,-0.0003211104248730346,-0.0015586769165293398,-0.002548644237396781,0.0370913769769161,0.020248416628146342,0.0019851148179182826,0.011379559939451972,0.013649765584545032,0.006277948987331825,-0.0004752125382070202,-0.008463619185817613,-0.0031278177929235547,-0.01455830537408775,0.000645631554817937,-0.006229079938765854,0.006774451618376091,-1.9694239248763527e-06,-0.0026920160552978407,-0.0005227768009000582,-0.0025729875422400047,-0.044927701120477836,0.011374182842496404,0.010260706193972976,0.0070879833998659094,0.0010389440923854957,0.0005196447718217081,-0.0006032689836761454,-0.0008439509120301225
"Burns, Sam",R2026032,0.007457892679815497,0.0065404282864065496,0.00094756068364073,0.008045314142432607,0.014923631077192504,0.004815602416614854,0.002299247800265025,0.00815258856444704,0.02455191505664241,-0.025726686628495657,0.00631632762213187,0.008150335117055865,-0.00052212520923153,0.0003479801595223709,0.0019006727885745043,0.0007489363863587818,-8.209878927208755e-05,-0.0017514161339260616,-0.00024327515927539736,-0.001569456425553654,-0.0007652440714221064,-0.002784605891070699,-0.0001629401448585477,-0.0020739422666302583,-0.001954872403910812,0.0011445118151991558,-0.00029409560017052116,-0.00028017733330754004,-0.00047712868925941864,-0.002817238852162482,0.03676119972094217,0.022092217099084738,0.0019780224711447593,0.013812766666626508,0.01567207806707024,0.006514582715693019,-0.0004906655756896648,-0.007284465297907168,-0.00310591830923806,-0.013406304323734653,0.0009174561064157765,-0.006022017527530101,0.007602224161658403,-0.0001712136128541833,-0.002689176013905807,-0.0006198069921520361,-0.002426768235164179,-0.05074977808113379,0.011738884026312318,0.009770476439447225,0.007046232863335431,0.001303469763692539,0.001131130169339255,-0.0004299381559451127,-0.001211797881648435
"Morikawa, Collin",R2026032,0.004486523176939513,0.007088708875366566,-0.001958798288160771,0.0076649947747546065,0.009820166873640903,0.0018846553927469338,0.006596233904578332,0.006639678520687566,0.031499512929049935,0.04081994489149248,0.006132675407484671,0.007767689486632169,-0.0005810841172494568,-0.000906994618664609,0.0013886356725352994,0.0006447721625896403,0.000289251514017438,-0.0011523202377181783,-0.00013579296926696736,-0.0008017536554370008,-0.0015823303732598081,-0.0028605653914573477,5.860047885304433e-05,-0.004172804648680158,-0.0025971981193791556,0.0018555928523975136,-0.0010587962205235253,-0.0005806619384871326,-0.0019753982906899055,-0.003152616768827051,0.03711513544388323,0.0189006257427231,0.0018271009672787108,0.010257819189103954,0.012893956331238507,0.006810796783400429,-0.0002400789885189335,-0.009001270919357665,-0.0045398844926081835,-0.015297669566599587,-0.00036274893525337066,-0.005727836957160993,0.0071267016612042615,-4.019480132431077e-05,-0.002644909446356707,-0.0005445055600700616,-0.0024358933471106564,-0.045707364172557496,0.010103992751074011,0.009758133881932224,0.00653075296618899,0.0009983722762463608,0.0004917394565456542,-0.0005505809572844764,-0.0008149425080963842
"Noren, Alex",R2026032,0.003453799255435499,-0.004937540853316247,0.0008847512291434576,0.009898491635418222,0.009410174821060659,0.004838303338133971,0.0016049499344491563,0.00035719920196636566,-0.028058996088670792,-0.026430103715084082,0.007082297446496656,0.0056132455667875355,0.004147092831505058,-0.00047344958829801976,0.0017646604039633803,0.0011594190274838037,-0.001098174688846837,-0.0016476484253922323,-0.000668603513943529,-0.0019760000679111666,-0.000472810831252565,-0.003265243052592041,9.671468959815403e-05,-0.005159570031478627,-0.002896347126905535,0.0009095676696468316,-0.0006528386056641342,-0.0006964110356945079,-0.0016715889960783879,0.0075016957656967405,0.03337897806946284,0.020993606512504082,0.0020246253663598565,0.014112849751242038,0.01582871304171571,0.005178940828109547,-0.000628970739051304,-0.006629235068701536,-0.0032228678821978416,-0.011512744643862718,0.00102606953576748,-0.0066238279192249935,0.008428935371501167,0.00010045856798268826,-0.0017530404284387454,-0.001153620036512819,-0.0017241896817173014,-0.040990031511901615,0.01422168196935448,0.013638272114139878,0.011459186261920856,0.0003387748726908753,0.0005203686284684241,-0.0007017061502917003,-0.0011387246509718643
"Rose, Justin",R2026032,0.005223535117238313,0.006018948743612203,-0.001265195737183752,0.004885905979328167,-0.0036800858846021476,0.001756967277013175,0.005783849188488042,0.005004630976275202,0.025614182013762393,0.0392598979121162,0.006750731642227277,0.006997801602322866,-0.0005942937561017083,0.0002267383584040218,0.001529830688162469,0.0012756533267587783,0.00036986283159188725,-0.001273335946928364,-0.0009362745411675127,-0.0010784805610609693,-0.0017007094688005582,-0.0029446980057080733,-0.0005331792510986938,-0.003003155171270051,-0.0026157357921389544,0.0027247303567277336,-0.0007426710863432268,-0.0006084124532317201,-0.0019503560146087995,-0.0029417539170929117,0.03633745105504076,0.018858425236772173,0.002094221761544139,0.009095780788949766,0.013440142444481072,0.005237885340241944,-0.0005088252528370664,-0.007787911638976031,-0.002962139028411687,-0.01400316356779916,0.0004271448679007437,-0.006418323678744713,0.007914010458682383,1.0251372415465677e-06,-0.0026697437966937978,-0.0007355807615331288,-0.002024098373020609,-0.04044774433214686,0.012382389065828942,0.012380085636635957,0.006642604008791279,0.0009384655408676614,0.0003542030232235119,-0.0012945496614155535,-0.0008845609553804241
"Clark, Wyndham",R2026032,0.009610642825902557,0.003369443443594492,0.0009784902188006565,0.0024028256923087203,0.00529496625053339,0.004175560870926497,-7.076160828617328e-06,0.0028577160237065143,0.022156276998142436,-0.023695701618923256,0.006920759768409102,0.005980238021204722,-0.0005078532162434111,-0.0010491306512511343,0.0017503548691343077,0.0009881340582431032,0.000322865949436032,-0.0011801814544375958,-0.001866789920230618,-0.002147603538911884,-0.0013805030275357525,-0.002171629971731235,-8.590290149269907e-05,-0.0023202274915601847,-0.0019506447347727815,0.0016668896084901864,-0.0005069946120703703,-0.0005847735836768199,-0.0010385225655836908,-0.0023385442289644595,0.03670064728776109,0.02273042211584327,0.003041840394213199,0.012125291488892015,0.015630607290468956,0.009196439361211062,-0.00036945035962566633,-0.006850595426346809,-0.002897070009494828,-0.012095786478214876,0.0009261150510529271,-0.006604600991182164,0.00755245342799863,-5.8835815893344587e-05,-0.0020843706849355084,-0.0008148574848059973,-0.00138456426326495,-0.04445822218014286,0.014069967193912451,0.011928602450908923,0.008131614521964682,0.001089098028953105,0.00024253568719422098,-0.0008470829198799811,-0.0012507471627489818
"Lowry, Shane",R2026032,0.00489070408709106,0.005784569928489837,-0.0008786230616884217,0.004122214202205011,-0.0015471714034726138,0.0014943036697374222,0.0059789582282528475,0.00536838099106176,0.025309001046346646,0.04075154151568642,0.005695893037630572,0.007326342631776797,-0.0005980721092885825,-0.0008777073393287792,0.001506197066507635,0.0013011264306019637,-0.0010865072914207274,-0.001452484568206869,-0.0027493750905081085,-0.0014173163142203466,-0.001068471594458609,-0.0030031364256389685,-7.23637269109559e-05,-0.004965321016459577,-0.0025568287212831406,0.00257363679691663,-0.001166970228250944,-0.0006378815260154389,-0.0019132518116352804,0.006920402983182087,0.03638872586313316,0.01703422460981148,0.0018819689848178422,0.009057325079569392,0.012207198099572067,0.005741465258633835,-0.00047724353885457486,-0.00822311430995845,-0.0036152510109606494,-0.013568484564897398,0.00044157199226755494,-0.006321004660151025,0.007588234954909509,-0.00024678449810300063,-0.0029565349947747593,-0.0007326596038852159,-0.001857735023582977,-0.041222973206219655,0.012175038549353312,0.012167418883386988,0.006885172282716741,0.0010185095510100587,0.00027122230386061267,-0.0013409052830753141,-0.0008787933520304803
"Reitan, Kristoffer",R2026032,0.011741967646983873,-0.0007377481903046609,0.0009569965842844249,0.003962142149230029,0.01405029745224415,0.00467367712806364,-0.0009333936862625918,0.007562415379302021,-0.01978858960246739,-0.026572516580409905,0.0058225703979165044,0.006703018723944298,-0.00043625176748344525,-0.0009181517241691615,0.0017176605566966109,0.0007341405877011072,-5.7462112736037e-05,-0.0027039014888149047,-0.00021066092521988009,-0.0016374676258772347,-0.0012008992692558887,-0.0021870107994946377,-0.0009988442554885988,-0.0032039064298891237,-0.0025553890786697794,0.0007268082054153834,-0.000709759199142036,-0.0005012477388955746,-0.0013277168604523277,-0.002524464249227911,0.035194443316302844,0.023456045079771604,0.002959343244942884,0.011566899701245378,0.02222197845109203,0.011003272707026751,-0.0005324141608404323,-0.007119510096193031,-0.00368544729733909,-0.013533957785254807,0.001117524840220334,-0.007415592152642962,0.005768058935509325,-6.5634770668934e-05,-0.002262915506244151,-0.0008331118698507063,-0.00239437391977904,-0.04949885149690412,0.012915666234380152,0.011887207818079821,0.008890463557754172,0.0005589537235472716,0.001499114669635979,-0.00034104447377187355,-0.0008433711130164745
"Hojgaard, Nicolai",R2026032,0.005399988691661955,0.005991033663302292,-0.002118671011346606,0.0045687016153018,-0.004362086158839834,0.001561707364552149,0.006176183494552249,0.005644557552916149,0.028874112200050633,0.040987096271433564,0.005827289968707114,0.006779073202807737,-0.0005853368615550763,-0.00021797375366644118,0.0015295848531857615,0.0016741970252027241,0.0003550292921772308,-0.0011578250876105704,-0.000430908257793851,-0.0010390080121792918,-0.0016761232333921301,-0.002984860500951449,0.0004440038015529147,-0.003075691728928656,-0.0025515822443835583,0.002592716056708126,-0.0008799936232484377,-0.0006060425118991397,-0.0023993135046238285,-0.0034559431876802806,0.036802146173216706,0.018717312717678864,0.0027600647586262573,0.009073359433254102,0.013441012772837163,0.006164595322132968,-0.00029670023437514234,-0.008100669485516675,-0.003547957602490085,-0.012797325733790848,0.0004368984595024758,-0.005880089514046084,0.007599018631216509,2.7065485844373626e-05,-0.0025611764882405995,-0.0007940761493921345,-0.0019660698490896467,-0.04364528766682741,0.012585304090489304,0.011824084209518818,0.00677690233814297,0.0010175005294643814,0.00037823294256068076,-0.0013399552086924814,-0.0008878812488875716
