event,tid,date,jack_picks,jack_earn,replay_picks,replay_earn,best3_picks,best3_earn,delta_vs_replay,capture_pct
002,R2026002,2026-01-22,,0,"Griffin, Ben | Henley, Russell | Straka, Sepp",332120.0,"Scheffler, Scottie | Day, Jason | Gerard, Ryan",2888800.0,-332120.0,0.0
004,R2026004,2026-01-28,Pier Coody | Gotterup | B Griffin,2033349,"Rose, Justin | Penge, Marco | Spaun, J.J.",1728000.0,"Rose, Justin | Coody, Pierceson | Kim, Si Woo",3180800.0,305349.0,63.9
007,R2026007,2026-02-19,Cantlay | Hovland | Matsuyama,306750,"Kim, Si Woo | Fleetwood, Tommy | Gotterup, Chris",712200.0,"Bridgeman, Jacob | Kitayama, Kurt | McIlroy, Rory",7600000.0,-405450.0,4.0
010,R2026010,2026-03-03,Aberg | Henley | McIlroy,1902000,"Berger, Daniel | Hojgaard, Nicolai | Gerard, Ryan",456416.0,"Echavarria, Nico | Moore, Taylor | Lowry, Shane",3180800.0,1445584.0,59.8
009,R2026009,2026-03-06,Scheffler | Scott | Cam Young,4829250,"Gotterup, Chris | McIlroy, Rory | Morikawa, Collin",530100.0,"Bhatia, Akshay | Berger, Daniel | Young, Cameron",3329400.0,4299150.0,145.0
011,R2026011,2026-03-11,Bridgeman | Theegala | J Thomas,212667,"Gotterup, Chris | Coody, Pierceson | Morikawa, Collin",75000.0,"Young, Cameron | Fitzpatrick, Matt | Schauffele, Xander",5370000.0,137667.0,4.0
475,R2026475,2026-03-18,Knapp | B Koepka | MW Lee,907088,"Bridgeman, Jacob | Fitzpatrick, Matt | Thomas, Justin",1414500.0,"Fitzpatrick, Matt | Lipsky, David | Smith, Jordan",2470200.0,-507412.0,36.7
020,R2026020,2026-03-25,Fowler | Spieth | Yellamaraju,180614,"Kitayama, Kurt | Penge, Marco | Lee, Min Woo",518000.00000000006,"Woodland, Gary | Hojgaard, Nicolai | Keefer, Johnny",2506000.0,-337386.00000000006,7.2
041,R2026041,2026-04-01,Aberg | DeChambeau | Schauffele,882000,"Aberg, Ludvig | McNealy, Maverick | Henley, Russell",474075.0,"Spaun, J.J. | Wallace, Matt | Kim, Michael",3247066.66,407925.0,27.2
014,R2026014,2026-04-08,M Fitzpatrick | Fleetwood | Morikawa,4466833,"Aberg, Ludvig | Morikawa, Collin | Young, Cameron",2057625.0,"McIlroy, Rory | Scheffler, Scottie | Young, Cameron",8010000.0,2409208.0,55.8
012,R2026012,2026-04-15,Brennan | A Fitzpatrick | Lowry,1372750,"Aberg, Ludvig | Young, Cameron | Fitzpatrick, Matt",1661400.0,"Fitzpatrick, Matt | Scheffler, Scottie | Kim, Si Woo",2541800.0,-288650.0,54.0
018,R2026018,2026-04-21,,0,"Stevens, Sam | Lowry, Shane | Fitzpatrick, Matt",1407000.0,"Fitzpatrick, Matt | Fitzpatrick, Alex | Reitan, Kristoffer",3283000.0,-1407000.0,0.0
556,R2026556,2026-04-30,Fleetwood | SW Kim | Morikawa,1035310,"Kim, Si Woo | Young, Cameron | Spaun, J.J.",4776666.67,"Young, Cameron | Scheffler, Scottie | Griffin, Ben",7120000.0,-3741356.67,14.5
480,R2026480,2026-05-06,M Fitzpatrick | McIlroy | Schauffele,329788,"Schauffele, Xander | Fleetwood, Tommy | Spaun, J.J.",1502500.0,"Reitan, Kristoffer | Hojgaard, Nicolai | Fowler, Rickie",7120000.0,-1172712.0,4.6
033,R2026033,2026-05-13,B Koepka | Rahm | Scheffler,2202949,"Rahm, Jon | Schauffele, Xander | Kim, Si Woo",2519855.56,"Rai, Aaron | Smalley, Alex | Rahm, Jon",7298000.0,-316906.56000000006,30.2
019,R2026019,2026-05-20,Hisatsune | SW Kim | Spieth,1323892,"Coody, Pierceson | Hisatsune, Ryo | Mitchell, Keith",623493.34,"Clark, Wyndham | Kim, Si Woo | Scheffler, Scottie",3687400.0,700398.66,35.9
021,R2026021,2026-05-31,Fowler | Henley | J Thomas,1975875,"Smalley, Alex | Hisatsune, Ryo | Stevens, Sam",575553.0,"Henley, Russell | Cole, Eric | Griffin, Ben",3385800.0,1400322.0,58.4
023,R2026023,2026-06-03,Burns | Cantlay | Matsuyama,1309000,"Scott, Adam | Hojgaard, Nicolai | Cantlay, Patrick",720800.0,"Poston, J.T. | Gerard, Ryan | Clark, Wyndham",7600000.0,588200.0,17.2
032,R2026032,2026-06-10,W Clark | A Fitzpatrick | N Taylor,336075,"Burns, Sam | Rose, Justin | Hojgaard, Nicolai",114100.0,"Cauley, Bud | Fitzpatrick, Matt | Hovland, Viktor",2917700.0,221975.0,11.5
026,R2026026,2026-06-18,M Fitzpatrick | Rahm | Scheffler,1151102,"Rahm, Jon | Reed, Patrick | McIlroy, Rory",128756.0,"Clark, Wyndham | Burns, Sam | Kim, Tom",8462530.0,1022346.0,13.6
034,R2026034,2026-06-24,Henley | Rai | Spieth,594125,"Thomas, Justin | Cantlay, Patrick | Scheffler, Scottie",1102600.0,"Hovland, Viktor | Scheffler, Scottie | Morikawa, Collin",2649200.0,-508475.0,22.4
030,R2026030,2026-07-01,Gotterup | B Griffin | Koivun,1684056,"Griffin, Ben | Poston, J.T. | Meissner, Mac",285200.0,"Gotterup, Chris | Homa, Max | Kohles, Ben",2219600.0,1398856.0,75.9
541,R2026541,2026-07-08,W Clark | MacIntyre | Rahm,635316,"Schauffele, Xander | McIlroy, Rory | Hatton, Tyrrell",446250.0,"Kim, Tom | Lee, Min Woo | MacIntyre, Robert",3132500.0,189066.0,20.3
