test_year,n_train,n_test,positives,auc,brier,log_loss,market
2020,17787,3340,25,0.7005490196078431,0.007386700713469973,0.04176502375281914,win
2021,21127,5040,38,0.7027636313895494,0.0074768228267514175,0.04294740370555697,win
2022,26167,4947,37,0.8693840479991193,0.00724577907744838,0.03729270877717823,win
2023,31114,5644,42,0.8742944696621955,0.007237729251575177,0.037140788350188206,win
2024,36758,4701,39,0.7571665071665071,0.008129764977045276,0.05022276033239261,win
2025,41459,4662,38,0.8383718812602441,0.007916307720748448,0.04074659684230012,win
2026,46121,3660,33,0.7403522403522403,0.008824092041901616,0.04799712130514362,win
2020,17787,3340,160,0.6992786949685534,0.043925401170469995,0.17881906044061424,top5
2021,21127,5040,232,0.743147645447243,0.04273215742507248,0.17133580034700194,top5
2022,26167,4947,227,0.7923808146046443,0.04037560458272997,0.1606609411428259,top5
2023,31114,5644,248,0.7832963933857816,0.03937834915951577,0.15678418770332275,top5
2024,36758,4701,241,0.7586350780566772,0.04590426213398255,0.1798479456657882,top5
2025,41459,4662,236,0.7490823676733017,0.04604259920168683,0.180232936795874,top5
2026,46121,3660,192,0.7249442822472125,0.04785331960702302,0.18982357690222812,top5
2020,17787,3340,291,0.672360043685102,0.07638003152938565,0.2794289424115946,top10
2021,21127,5040,440,0.7403614130434782,0.07483066273384902,0.26830459046541455,top10
2022,26167,4947,418,0.7462543354311028,0.0708188651211603,0.25651663754988774,top10
2023,31114,5644,497,0.7735458799034737,0.0729584031148972,0.25840137755806225,top10
2024,36758,4701,452,0.7598937907305624,0.07908306145231257,0.2764861562595801,top10
2025,41459,4662,432,0.7331740872077751,0.07835875429541707,0.277671599987506,top10
2026,46121,3660,373,0.6884966449193386,0.08753828506742757,0.3097237118600128,top10
2020,17787,3340,549,0.6696090543439457,0.12806150049426138,0.4171866459793712,top20
2021,21127,5040,857,0.7201964332488756,0.1280213940739484,0.41133746477646815,top20
2022,26167,4947,828,0.7254315455770537,0.12481898184661691,0.40295302001244154,top20
2023,31114,5644,946,0.7374718403854998,0.12289562127646307,0.4042454974370313,top20
2024,36758,4701,864,0.7496126893116728,0.13145525288517793,0.41669864422848457,top20
2025,41459,4662,863,0.7350707037925759,0.1339490084192282,0.421895737245879,top20
2026,46121,3660,742,0.6711830463948094,0.15251133601964012,0.4780628425318455,top20
