player_name,week,tournament_name,start_date,purse
"Scottie Scheffler, Nicolai Højgaard, Brian Campbell",1,Waste Management Phoenix Open,2026-02-05,9600000
"Scottie Scheffler, Nicolai Højgaard, Chris Gotterup",2,AT&T Pebble Beach Pro-Am,2026-02-12,20000000
"Scottie Scheffler, Nicolai Højgaard, Chris Gotterup",3,The Genesis Invitational,2026-02-19,20000000
"Brian Campbell, Chris Gotterup, Shane Lowry",4,Cognizant Classic,2026-02-26,9600000
"Brian Campbell, Shane Lowry, Aldrich Potgieter",5,Arnold Palmer Invitational,2026-03-05,20000000
"Shane Lowry, Aldrich Potgieter, Kurt Kitayama",6,THE PLAYERS Championship,2026-03-12,25000000
"Aldrich Potgieter, Kurt Kitayama, Michael Brennan",7,Valspar Championship,2026-03-19,9100000
"Kurt Kitayama, Michael Brennan, Rico Hoey",8,Texas Children's Houston Open,2026-03-26,9900000
"Michael Brennan, Rico Hoey, Max Greyserman",9,Valero Texas Open,2026-04-02,9800000
"Rico Hoey, Max Greyserman, Ryan Fox",10,The Masters,2026-04-09,21000000
"Max Greyserman, Ryan Fox, Rory McIlroy",11,RBC Heritage,2026-04-16,20000000
"Ryan Fox, Rory McIlroy, Viktor Hovland",12,Zurich Classic of New Orleans,2026-04-23,9500000
"Rory McIlroy, Viktor Hovland, Matt Fitzpatrick",13,Cadillac Championship,2026-04-30,20000000
"Viktor Hovland, Matt Fitzpatrick, Ben Griffin",14,Truist Championship,2026-05-07,20000000
"Matt Fitzpatrick, Ben Griffin, Justin Thomas",15,PGA Championship,2026-05-14,19000000
"Ben Griffin, Justin Thomas, Sam Stevens",16,The CJ Cup Byron Nelson,2026-05-21,10300000
"Justin Thomas, Sam Stevens, Ryan Palmer",17,Charles Schwab Challenge,2026-05-28,9400000
"Pierceson Coody, Sam Stevens, Ryan Palmer",18,The Memorial Tournament,2026-06-04,20000000
"Ryan Palmer, Pierceson Coody, Sepp Straka",19,RBC Canadian Open,2026-06-11,9800000
"Sepp Straka, Pierceson Coody, Isaiah Salinda",20,U.S. Open,2026-06-18,21500000
"Sepp Straka, Isaiah Salinda, Tyrrell Hatton",21,Travelers Championship,2026-06-25,20000000
"Isaiah Salinda, Garrick Higgo, Tyrrell Hatton",22,John Deere Classic,2026-07-02,8800000
"Garrick Higgo, Tyrrell Hatton, Bud Cauley",23,Genesis Scottish Open,2026-07-09,9000000
"Garrick Higgo, Bud Cauley, Matt NeSmith",24,The Open Championship,2026-07-16,17000000
"Bud Cauley, Matt NeSmith, Chris Kirk",25,3M Open,2026-07-23,8800000
"Matt NeSmith, Chris Kirk, Mackenzie Hughes",26,Rocket Classic,2026-07-30,10000000
"Chris Kirk, Mackenzie Hughes, Thorbjørn Olesen",27,Wyndham Championship,2026-08-06,8500000
"Mackenzie Hughes, Thorbjørn Olesen, Matt Wallace",28,FedEx St. Jude Invitational,2026-08-13,20000000
"Thorbjørn Olesen, Matt Wallace, Jackson Koivun",29,BMW Championship,2026-08-20,20000000
"Matt Wallace, Jackson Koivun, Alex Smalley",30,TOUR Championship,2026-08-27,20000000
