tournament_id,tournament_name,year,player_id,player_name,sg_total,sg_ott,sg_app,sg_putt,sg_t2g,fetched_date
R2025493,The RSM Classic,2025,23108,Matt Kuchar,0.283,-0.582,-0.041,-0.876,-0.34,2026-01-20
R2025493,The RSM Classic,2025,23320,Ryan Palmer,0.501,0.408,0.827,0.383,1.735,2026-01-20
R2025493,The RSM Classic,2025,24925,Jonathan Byrd,-1.564,0.971,0.038,0.725,-0.556,2026-01-20
R2025493,The RSM Classic,2025,26476,Chez Reavie,0.324,-1.849,-0.414,0.108,-1.939,2026-01-20
R2025493,The RSM Classic,2025,27649,Brandt Snedeker,-0.221,0.558,0.013,-0.233,0.351,2026-01-20
R2025493,The RSM Classic,2025,28252,Seamus Power,0.31,0.657,0.771,0.765,1.738,2026-01-20
R2025493,The RSM Classic,2025,29221,Webb Simpson,0.085,0.673,0.209,0.484,0.967,2026-01-20
R2025493,The RSM Classic,2025,29535,Brice Garnett,0.495,-0.465,-0.093,0.515,-0.063,2026-01-20
R2025493,The RSM Classic,2025,30163,Henrik Norlander,0.207,1.288,0.287,-0.613,1.782,2026-01-20
R2025493,The RSM Classic,2025,30926,Chris Kirk,0.056,1.693,0.427,-0.724,2.176,2026-01-20
R2025493,The RSM Classic,2025,32448,James Hahn,-1.941,-1.013,-0.002,-0.542,-2.956,2026-01-20
R2025493,The RSM Classic,2025,32640,Troy Merritt,-0.815,0.24,0.459,-0.381,-0.116,2026-01-20
R2025493,The RSM Classic,2025,32757,Patton Kizzire,-1.125,0.937,0.504,1.493,0.343,2026-01-20
R2025493,The RSM Classic,2025,33399,Adam Hadwin,-0.06,0.071,-0.269,0.043,-0.259,2026-01-20
R2025493,The RSM Classic,2025,33413,Ben Martin,0.721,0.807,0.62,-1.03,2.148,2026-01-20
R2025493,The RSM Classic,2025,33948,Byeong Hun An,0.832,0.475,0.29,-0.145,1.596,2026-01-20
R2025493,The RSM Classic,2025,34099,Harris English,0.566,-0.424,0.249,0.111,0.392,2026-01-20
R2025493,The RSM Classic,2025,34256,Andrew Putnam,-0.175,-0.88,0.902,1.988,-0.152,2026-01-20
