tournament_id,tournament_name,year,player_id,player_name,sg_total,sg_ott,sg_app,sg_putt,sg_t2g,fetched_date
R2025002,The American Express,2025,12716,Charley Hoffman,1.086,0.399,0.34,-1.005,1.825,2026-01-20
R2025002,The American Express,2025,23108,Matt Kuchar,-0.088,0.072,0.336,-0.423,0.32,2026-01-20
R2025002,The American Express,2025,23320,Ryan Palmer,-0.069,-1.648,-0.362,1.899,-2.079,2026-01-20
R2025002,The American Express,2025,25493,Nick Taylor,-0.226,2.018,0.909,2.697,2.7,2026-01-20
R2025002,The American Express,2025,26476,Chez Reavie,-0.851,-0.331,-0.204,-0.717,-1.387,2026-01-20
R2025002,The American Express,2025,27649,Brandt Snedeker,-0.506,-1.315,1.81,1.331,-0.011,2026-01-20
R2025002,The American Express,2025,27770,Camilo Villegas,0.277,1.659,1.677,-0.293,3.613,2026-01-20
R2025002,The American Express,2025,28089,Jason Day,0.705,1.799,1.043,-0.727,3.547,2026-01-20
R2025002,The American Express,2025,29420,Billy Horschel,0.172,0.699,0.093,0.356,0.964,2026-01-20
R2025002,The American Express,2025,29535,Brice Garnett,0.779,0.15,1.784,-0.027,2.712,2026-01-20
R2025002,The American Express,2025,30926,Chris Kirk,0.189,0.478,0.129,-0.476,0.796,2026-01-20
R2025002,The American Express,2025,32102,Rickie Fowler,0.087,-0.066,0.191,-0.392,0.212,2026-01-20
R2025002,The American Express,2025,33199,Matteo Manassero,-1.135,0.542,0.846,-0.433,0.253,2026-01-20
R2025002,The American Express,2025,33448,Justin Thomas,0.678,0.845,0.857,1.439,2.381,2026-01-20
R2025002,The American Express,2025,33597,Harry Higgs,0.445,0.051,0.737,-0.547,1.232,2026-01-20
R2025002,The American Express,2025,34099,Harris English,1.465,0.04,0.344,0.048,1.849,2026-01-20
R2025002,The American Express,2025,35310,Lanto Griffin,0.265,0.628,-0.479,-0.017,0.414,2026-01-20
R2025002,The American Express,2025,35450,Patrick Cantlay,1.168,-0.697,0.778,1.571,1.249,2026-01-20
R2025002,The American Express,2025,35461,Beau Hossler,1.165,-1.955,1.598,0.378,0.808,2026-01-20
